,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,   69,2020-04-14 09:00:01.911182
1,E06000002,Middlesbrough,  274,2020-04-14 09:00:01.911182
2,E06000003,Redcar and Cleveland,  157,2020-04-14 09:00:01.911182
3,E06000004,Stockton-on-Tees,  192,2020-04-14 09:00:01.911182
4,E06000005,Darlington,  130,2020-04-14 09:00:01.911182
5,E06000006,Halton,  194,2020-04-14 09:00:01.911182
6,E06000007,Warrington,  326,2020-04-14 09:00:01.911182
7,E06000008,Blackburn with Darwen,  152,2020-04-14 09:00:01.911182
8,E06000009,Blackpool,  149,2020-04-14 09:00:01.911182
9,E06000010,"Kingston upon Hull, City of",  135,2020-04-14 09:00:01.911182
10,E06000011,East Riding of Yorkshire,  220,2020-04-14 09:00:01.911182
11,E06000012,North East Lincolnshire,   75,2020-04-14 09:00:01.911182
12,E06000013,North Lincolnshire,  125,2020-04-14 09:00:01.911182
13,E06000014,York,  127,2020-04-14 09:00:01.911182
14,E06000015,Derby,  354,2020-04-14 09:00:01.911182
15,E06000016,Leicester,  384,2020-04-14 09:00:01.911182
16,E06000017,Rutland,    9,2020-04-14 09:00:01.911182
17,E06000018,Nottingham,  313,2020-04-14 09:00:01.911182
18,E06000019,"Herefordshire, County of",  104,2020-04-14 09:00:01.911182
19,E06000020,Telford and Wrekin,  129,2020-04-14 09:00:01.911182
20,E06000021,Stoke-on-Trent,  200,2020-04-14 09:00:01.911182
21,E06000022,Bath and North East Somerset,  130,2020-04-14 09:00:01.911182
22,E06000023,"Bristol, City of",  333,2020-04-14 09:00:01.911182
23,E06000024,North Somerset,  115,2020-04-14 09:00:01.911182
24,E06000025,South Gloucestershire,  220,2020-04-14 09:00:01.911182
25,E06000026,Plymouth,  142,2020-04-14 09:00:01.911182
26,E06000027,Torbay,   98,2020-04-14 09:00:01.911182
27,E06000030,Swindon,  177,2020-04-14 09:00:01.911182
28,E06000031,Peterborough,  102,2020-04-14 09:00:01.911182
29,E06000032,Luton,  334,2020-04-14 09:00:01.911182
30,E06000033,Southend-on-Sea,  214,2020-04-14 09:00:01.911182
31,E06000034,Thurrock,  189,2020-04-14 09:00:01.911182
32,E06000035,Medway,  352,2020-04-14 09:00:01.911182
33,E06000036,Bracknell Forest,  104,2020-04-14 09:00:01.911182
34,E06000037,West Berkshire,  146,2020-04-14 09:00:01.911182
35,E06000038,Reading,  161,2020-04-14 09:00:01.911182
36,E06000039,Slough,  207,2020-04-14 09:00:01.911182
37,E06000040,Windsor and Maidenhead,  138,2020-04-14 09:00:01.911182
38,E06000041,Wokingham,  157,2020-04-14 09:00:01.911182
39,E06000042,Milton Keynes,  286,2020-04-14 09:00:01.911182
40,E06000043,Brighton and Hove,  213,2020-04-14 09:00:01.911182
41,E06000044,Portsmouth,  182,2020-04-14 09:00:01.911182
42,E06000045,Southampton,  230,2020-04-14 09:00:01.911182
43,E06000046,Isle of Wight,   56,2020-04-14 09:00:01.911182
44,E06000047,County Durham,  573,2020-04-14 09:00:01.911182
45,E06000049,Cheshire East,  386,2020-04-14 09:00:01.911182
46,E06000050,Cheshire West and Chester,  410,2020-04-14 09:00:01.911182
47,E06000051,Shropshire,  240,2020-04-14 09:00:01.911182
48,E06000052,Cornwall and Isles of Scilly,  301,2020-04-14 09:00:01.911182
49,E06000054,Wiltshire,  234,2020-04-14 09:00:01.911182
50,E06000055,Bedford,  208,2020-04-14 09:00:01.911182
51,E06000056,Central Bedfordshire,  256,2020-04-14 09:00:01.911182
52,E06000057,Northumberland,  366,2020-04-14 09:00:01.911182
53,E06000058,"Bournemouth, Christchurch and Poole",  216,2020-04-14 09:00:01.911182
54,E06000059,Dorset,  198,2020-04-14 09:00:01.911182
55,E08000001,Bolton,  364,2020-04-14 09:00:01.911182
56,E08000002,Bury,  233,2020-04-14 09:00:01.911182
57,E08000003,Manchester,  643,2020-04-14 09:00:01.911182
58,E08000004,Oldham,  332,2020-04-14 09:00:01.911182
59,E08000005,Rochdale,  267,2020-04-14 09:00:01.911182
60,E08000006,Salford,  345,2020-04-14 09:00:01.911182
61,E08000007,Stockport,  464,2020-04-14 09:00:01.911182
62,E08000008,Tameside,  276,2020-04-14 09:00:01.911182
63,E08000009,Trafford,  365,2020-04-14 09:00:01.911182
64,E08000010,Wigan,  296,2020-04-14 09:00:01.911182
65,E08000011,Knowsley,  293,2020-04-14 09:00:01.911182
66,E08000012,Liverpool,  882,2020-04-14 09:00:01.911182
67,E08000013,St. Helens,  369,2020-04-14 09:00:01.911182
68,E08000014,Sefton,  469,2020-04-14 09:00:01.911182
69,E08000015,Wirral,  526,2020-04-14 09:00:01.911182
70,E08000016,Barnsley,  335,2020-04-14 09:00:01.911182
71,E08000017,Doncaster,  202,2020-04-14 09:00:01.911182
72,E08000018,Rotherham,  351,2020-04-14 09:00:01.911182
