,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,23,2020-04-05 09:00:01.927886
1,E06000002,Middlesbrough,111,2020-04-05 09:00:01.927886
2,E06000003,Redcar and Cleveland,75,2020-04-05 09:00:01.927886
3,E06000004,Stockton-on-Tees,81,2020-04-05 09:00:01.927886
4,E06000005,Darlington,32,2020-04-05 09:00:01.927886
5,E06000006,Halton,61,2020-04-05 09:00:01.927886
6,E06000007,Warrington,97,2020-04-05 09:00:01.927886
7,E06000008,Blackburn with Darwen,52,2020-04-05 09:00:01.927886
8,E06000009,Blackpool,50,2020-04-05 09:00:01.927886
9,E06000010,"Kingston upon Hull, City of",28,2020-04-05 09:00:01.927886
10,E06000011,East Riding of Yorkshire,78,2020-04-05 09:00:01.927886
11,E06000012,North East Lincolnshire,36,2020-04-05 09:00:01.927886
12,E06000013,North Lincolnshire,43,2020-04-05 09:00:01.927886
13,E06000014,York,57,2020-04-05 09:00:01.927886
14,E06000015,Derby,194,2020-04-05 09:00:01.927886
15,E06000016,Leicester,159,2020-04-05 09:00:01.927886
16,E06000017,Rutland,6,2020-04-05 09:00:01.927886
17,E06000018,Nottingham,161,2020-04-05 09:00:01.927886
18,E06000019,"Herefordshire, County of",57,2020-04-05 09:00:01.927886
19,E06000020,Telford and Wrekin,70,2020-04-05 09:00:01.927886
20,E06000021,Stoke-on-Trent,80,2020-04-05 09:00:01.927886
21,E06000022,Bath and North East Somerset,58,2020-04-05 09:00:01.927886
22,E06000023,"Bristol, City of",166,2020-04-05 09:00:01.927886
23,E06000024,North Somerset,66,2020-04-05 09:00:01.927886
24,E06000025,South Gloucestershire,113,2020-04-05 09:00:01.927886
25,E06000026,Plymouth,71,2020-04-05 09:00:01.927886
26,E06000027,Torbay,53,2020-04-05 09:00:01.927886
27,E06000030,Swindon,49,2020-04-05 09:00:01.927886
28,E06000031,Peterborough,48,2020-04-05 09:00:01.927886
29,E06000032,Luton,128,2020-04-05 09:00:01.927886
30,E06000033,Southend-on-Sea,76,2020-04-05 09:00:01.927886
31,E06000034,Thurrock,83,2020-04-05 09:00:01.927886
32,E06000035,Medway,144,2020-04-05 09:00:01.927886
33,E06000036,Bracknell Forest,45,2020-04-05 09:00:01.927886
34,E06000037,West Berkshire,74,2020-04-05 09:00:01.927886
35,E06000038,Reading,79,2020-04-05 09:00:01.927886
36,E06000039,Slough,129,2020-04-05 09:00:01.927886
37,E06000040,Windsor and Maidenhead,88,2020-04-05 09:00:01.927886
38,E06000041,Wokingham,83,2020-04-05 09:00:01.927886
39,E06000042,Milton Keynes,149,2020-04-05 09:00:01.927886
40,E06000043,Brighton and Hove,73,2020-04-05 09:00:01.927886
41,E06000044,Portsmouth,89,2020-04-05 09:00:01.927886
42,E06000045,Southampton,145,2020-04-05 09:00:01.927886
43,E06000046,Isle of Wight,25,2020-04-05 09:00:01.927886
44,E06000047,County Durham,199,2020-04-05 09:00:01.927886
45,E06000049,Cheshire East,144,2020-04-05 09:00:01.927886
