,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,   64,2020-04-11 09:00:02.646033
1,E06000002,Middlesbrough,  235,2020-04-11 09:00:02.646033
2,E06000003,Redcar and Cleveland,  139,2020-04-11 09:00:02.646033
3,E06000004,Stockton-on-Tees,  173,2020-04-11 09:00:02.646033
4,E06000005,Darlington,  109,2020-04-11 09:00:02.646033
5,E06000006,Halton,  159,2020-04-11 09:00:02.646033
6,E06000007,Warrington,  241,2020-04-11 09:00:02.646033
7,E06000008,Blackburn with Darwen,  106,2020-04-11 09:00:02.646033
8,E06000009,Blackpool,  108,2020-04-11 09:00:02.646033
9,E06000010,"Kingston upon Hull, City of",   85,2020-04-11 09:00:02.646033
10,E06000011,East Riding of Yorkshire,  174,2020-04-11 09:00:02.646033
11,E06000012,North East Lincolnshire,   61,2020-04-11 09:00:02.646033
12,E06000013,North Lincolnshire,   77,2020-04-11 09:00:02.646033
13,E06000014,York,  111,2020-04-11 09:00:02.646033
14,E06000015,Derby,  313,2020-04-11 09:00:02.646033
15,E06000016,Leicester,  305,2020-04-11 09:00:02.646033
16,E06000017,Rutland,    9,2020-04-11 09:00:02.646033
17,E06000018,Nottingham,  276,2020-04-11 09:00:02.646033
18,E06000019,"Herefordshire, County of",   86,2020-04-11 09:00:02.646033
19,E06000020,Telford and Wrekin,  118,2020-04-11 09:00:02.646033
20,E06000021,Stoke-on-Trent,  157,2020-04-11 09:00:02.646033
21,E06000022,Bath and North East Somerset,   97,2020-04-11 09:00:02.646033
22,E06000023,"Bristol, City of",  269,2020-04-11 09:00:02.646033
23,E06000024,North Somerset,  100,2020-04-11 09:00:02.646033
24,E06000025,South Gloucestershire,  191,2020-04-11 09:00:02.646033
25,E06000026,Plymouth,  119,2020-04-11 09:00:02.646033
26,E06000027,Torbay,   74,2020-04-11 09:00:02.646033
27,E06000030,Swindon,  125,2020-04-11 09:00:02.646033
28,E06000031,Peterborough,   99,2020-04-11 09:00:02.646033
29,E06000032,Luton,  249,2020-04-11 09:00:02.646033
30,E06000033,Southend-on-Sea,  180,2020-04-11 09:00:02.646033
31,E06000034,Thurrock,  155,2020-04-11 09:00:02.646033
