,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,21,2020-03-21 14:54:32.759082
1,E09000003,Barnet,76,2020-03-21 14:54:32.759082
2,E08000016,Barnsley,7,2020-03-21 14:54:32.759082
3,E06000022,Bath and North East Somerset,5,2020-03-21 14:54:32.759082
4,E06000055,Bedford,1,2020-03-21 14:54:32.759082
5,E09000004,Bexley,31,2020-03-21 14:54:32.759082
6,E08000025,Birmingham,54,2020-03-21 14:54:32.759082
7,E06000008,Blackburn with Darwen,1,2020-03-21 14:54:32.759082
8,E06000009,Blackpool,5,2020-03-21 14:54:32.759082
9,E08000001,Bolton,13,2020-03-21 14:54:32.759082
10,E06000058,"Bournemouth, Christchurch and Poole",10,2020-03-21 14:54:32.759082
11,E06000036,Bracknell Forest,3,2020-03-21 14:54:32.759082
12,E08000032,Bradford,9,2020-03-21 14:54:32.759082
13,E09000005,Brent,75,2020-03-21 14:54:32.759082
14,E06000043,Brighton and Hove,14,2020-03-21 14:54:32.759082
15,E06000023,"Bristol, City of",13,2020-03-21 14:54:32.759082
16,E09000006,Bromley,52,2020-03-21 14:54:32.759082
17,E10000002,Buckinghamshire,39,2020-03-21 14:54:32.759082
18,E08000002,Bury,10,2020-03-21 14:54:32.759082
19,E08000033,Calderdale,5,2020-03-21 14:54:32.759082
20,E10000003,Cambridgeshire,16,2020-03-21 14:54:32.759082
21,E09000007,Camden,46,2020-03-21 14:54:32.759082
22,E06000056,Central Bedfordshire,8,2020-03-21 14:54:32.759082
23,E06000049,Cheshire East,9,2020-03-21 14:54:32.759082
24,E06000050,Cheshire West and Chester,10,2020-03-21 14:54:32.759082
25,E06000052,Cornwall and Isles of Scilly,16,2020-03-21 14:54:32.759082
26,E06000047,County Durham,7,2020-03-21 14:54:32.759082
27,E08000026,Coventry,7,2020-03-21 14:54:32.759082
28,E09000008,Croydon,68,2020-03-21 14:54:32.759082
29,E10000006,Cumbria,52,2020-03-21 14:54:32.759082
30,E06000005,Darlington,2,2020-03-21 14:54:32.759082
31,E06000015,Derby,12,2020-03-21 14:54:32.759082
32,E10000007,Derbyshire,50,2020-03-21 14:54:32.759082
33,E10000008,Devon,30,2020-03-21 14:54:32.759082
34,E08000017,Doncaster,3,2020-03-21 14:54:32.759082
35,E06000059,Dorset,7,2020-03-21 14:54:32.759082
36,E08000027,Dudley,18,2020-03-21 14:54:32.759082
37,E09000009,Ealing,54,2020-03-21 14:54:32.759082
38,E06000011,East Riding of Yorkshire,15,2020-03-21 14:54:32.759082
39,E10000011,East Sussex,8,2020-03-21 14:54:32.759082
40,E09000010,Enfield,48,2020-03-21 14:54:32.759082
41,E10000012,Essex,43,2020-03-21 14:54:32.759082
42,E08000037,Gateshead,1,2020-03-21 14:54:32.759082
43,E10000013,Gloucestershire,22,2020-03-21 14:54:32.759082
44,E09000011,Greenwich,41,2020-03-21 14:54:32.759082
45,E09000012,Hackney and City of London,45,2020-03-21 14:54:32.759082
46,E06000006,Halton,5,2020-03-21 14:54:32.759082
47,E09000013,Hammersmith and Fulham,36,2020-03-21 14:54:32.759082
48,E10000014,Hampshire,107,2020-03-21 14:54:32.759082
49,E09000014,Haringey,44,2020-03-21 14:54:32.759082
50,E09000015,Harrow,60,2020-03-21 14:54:32.759082
51,E06000001,Hartlepool,2,2020-03-21 14:54:32.759082
52,E09000016,Havering,19,2020-03-21 14:54:32.759082
53,E06000019,"Herefordshire, County of",3,2020-03-21 14:54:32.759082
54,E10000015,Hertfordshire,61,2020-03-21 14:54:32.759082
55,E09000017,Hillingdon,34,2020-03-21 14:54:32.759082
56,E09000018,Hounslow,38,2020-03-21 14:54:32.759082
57,E06000046,Isle of Wight,2,2020-03-21 14:54:32.759082
58,E09000019,Islington,45,2020-03-21 14:54:32.759082
59,E09000020,Kensington and Chelsea,66,2020-03-21 14:54:32.759082
60,E10000016,Kent,32,2020-03-21 14:54:32.759082
61,E06000010,"Kingston upon Hull, City of",1,2020-03-21 14:54:32.759082
62,E09000021,Kingston upon Thames,17,2020-03-21 14:54:32.759082
63,E08000034,Kirklees,6,2020-03-21 14:54:32.759082
64,E08000011,Knowsley,3,2020-03-21 14:54:32.759082
65,E09000022,Lambeth,103,2020-03-21 14:54:32.759082
66,E10000017,Lancashire,26,2020-03-21 14:54:32.759082
67,E08000035,Leeds,17,2020-03-21 14:54:32.759082
68,E06000016,Leicester,11,2020-03-21 14:54:32.759082
69,E10000018,Leicestershire,20,2020-03-21 14:54:32.759082
70,E09000023,Lewisham,47,2020-03-21 14:54:32.759082
71,E10000019,Lincolnshire,9,2020-03-21 14:54:32.759082
72,E08000012,Liverpool,14,2020-03-21 14:54:32.759082
73,E06000032,Luton,4,2020-03-21 14:54:32.759082
74,E08000003,Manchester,26,2020-03-21 14:54:32.759082
75,E06000035,Medway,11,2020-03-21 14:54:32.759082
76,E09000024,Merton,45,2020-03-21 14:54:32.759082
77,E06000002,Middlesbrough,1,2020-03-21 14:54:32.759082
78,E06000042,Milton Keynes,7,2020-03-21 14:54:32.759082
79,E08000021,Newcastle upon Tyne,21,2020-03-21 14:54:32.759082
80,E09000025,Newham,42,2020-03-21 14:54:32.759082
81,E10000020,Norfolk,17,2020-03-21 14:54:32.759082
82,E06000012,North East Lincolnshire,0,2020-03-21 14:54:32.759082
83,E06000013,North Lincolnshire,1,2020-03-21 14:54:32.759082
84,E06000024,North Somerset,4,2020-03-21 14:54:32.759082
85,E08000022,North Tyneside,12,2020-03-21 14:54:32.759082
86,E10000023,North Yorkshire,14,2020-03-21 14:54:32.759082
87,E10000021,Northamptonshire,17,2020-03-21 14:54:32.759082
88,E06000057,Northumberland,7,2020-03-21 14:54:32.759082
89,E06000018,Nottingham,22,2020-03-21 14:54:32.759082
90,E10000024,Nottinghamshire,41,2020-03-21 14:54:32.759082
91,E08000004,Oldham,14,2020-03-21 14:54:32.759082
92,E10000025,Oxfordshire,40,2020-03-21 14:54:32.759082
93,E06000031,Peterborough,2,2020-03-21 14:54:32.759082
94,E06000026,Plymouth,7,2020-03-21 14:54:32.759082
95,E06000044,Portsmouth,13,2020-03-21 14:54:32.759082
96,E06000038,Reading,7,2020-03-21 14:54:32.759082
97,E09000026,Redbridge,27,2020-03-21 14:54:32.759082
98,E06000003,Redcar and Cleveland,2,2020-03-21 14:54:32.759082
99,E09000027,Richmond upon Thames,16,2020-03-21 14:54:32.759082
100,E08000005,Rochdale,12,2020-03-21 14:54:32.759082
101,E08000018,Rotherham,4,2020-03-21 14:54:32.759082
102,E06000017,Rutland,0,2020-03-21 14:54:32.759082
103,E08000006,Salford,10,2020-03-21 14:54:32.759082
