,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,53,2020-03-26 09:00:03.356760
1,E09000003,Barnet,100,2020-03-26 09:00:03.356760
2,E08000016,Barnsley,19,2020-03-26 09:00:03.356760
3,E06000022,Bath and North East Somerset,20,2020-03-26 09:00:03.356760
4,E06000055,Bedford,7,2020-03-26 09:00:03.356760
5,E09000004,Bexley,59,2020-03-26 09:00:03.356760
6,E08000025,Birmingham,228,2020-03-26 09:00:03.356760
7,E06000008,Blackburn with Darwen,3,2020-03-26 09:00:03.356760
8,E06000009,Blackpool,8,2020-03-26 09:00:03.356760
9,E08000001,Bolton,21,2020-03-26 09:00:03.356760
10,E06000058,"Bournemouth, Christchurch and Poole",15,2020-03-26 09:00:03.356760
11,E06000036,Bracknell Forest,3,2020-03-26 09:00:03.356760
12,E08000032,Bradford,16,2020-03-26 09:00:03.356760
13,E09000005,Brent,192,2020-03-26 09:00:03.356760
14,E06000043,Brighton and Hove,25,2020-03-26 09:00:03.356760
15,E06000023,"Bristol, City of",41,2020-03-26 09:00:03.356760
16,E09000006,Bromley,125,2020-03-26 09:00:03.356760
17,E10000002,Buckinghamshire,59,2020-03-26 09:00:03.356760
18,E08000002,Bury,23,2020-03-26 09:00:03.356760
19,E08000033,Calderdale,7,2020-03-26 09:00:03.356760
20,E10000003,Cambridgeshire,41,2020-03-26 09:00:03.356760
21,E09000007,Camden,71,2020-03-26 09:00:03.356760
22,E06000056,Central Bedfordshire,24,2020-03-26 09:00:03.356760
23,E06000049,Cheshire East,30,2020-03-26 09:00:03.356760
24,E06000050,Cheshire West and Chester,18,2020-03-26 09:00:03.356760
25,E06000052,Cornwall and Isles of Scilly,37,2020-03-26 09:00:03.356760
26,E06000047,County Durham,25,2020-03-26 09:00:03.356760
27,E08000026,Coventry,25,2020-03-26 09:00:03.356760
28,E09000008,Croydon,163,2020-03-26 09:00:03.356760
29,E10000006,Cumbria,145,2020-03-26 09:00:03.356760
30,E06000005,Darlington,4,2020-03-26 09:00:03.356760
31,E06000015,Derby,40,2020-03-26 09:00:03.356760
32,E10000007,Derbyshire,110,2020-03-26 09:00:03.356760
33,E10000008,Devon,50,2020-03-26 09:00:03.356760
34,E08000017,Doncaster,15,2020-03-26 09:00:03.356760
35,E06000059,Dorset,23,2020-03-26 09:00:03.356760
36,E08000027,Dudley,51,2020-03-26 09:00:03.356760
37,E09000009,Ealing,136,2020-03-26 09:00:03.356760
38,E06000011,East Riding of Yorkshire,19,2020-03-26 09:00:03.356760
39,E10000011,East Sussex,22,2020-03-26 09:00:03.356760
40,E09000010,Enfield,98,2020-03-26 09:00:03.356760
41,E10000012,Essex,88,2020-03-26 09:00:03.356760
42,E08000037,Gateshead,10,2020-03-26 09:00:03.356760
43,E10000013,Gloucestershire,57,2020-03-26 09:00:03.356760
44,E09000011,Greenwich,97,2020-03-26 09:00:03.356760
45,E09000012,Hackney and City of London,85,2020-03-26 09:00:03.356760
46,E06000006,Halton,8,2020-03-26 09:00:03.356760
47,E09000013,Hammersmith and Fulham,80,2020-03-26 09:00:03.356760
48,E10000014,Hampshire,251,2020-03-26 09:00:03.356760
49,E09000014,Haringey,76,2020-03-26 09:00:03.356760
50,E09000015,Harrow,145,2020-03-26 09:00:03.356760
51,E06000001,Hartlepool,3,2020-03-26 09:00:03.356760
52,E09000016,Havering,47,2020-03-26 09:00:03.356760
53,E06000019,"Herefordshire, County of",15,2020-03-26 09:00:03.356760
54,E10000015,Hertfordshire,147,2020-03-26 09:00:03.356760
55,E09000017,Hillingdon,90,2020-03-26 09:00:03.356760
56,E09000018,Hounslow,90,2020-03-26 09:00:03.356760
57,E06000046,Isle of Wight,3,2020-03-26 09:00:03.356760
58,E09000019,Islington,70,2020-03-26 09:00:03.356760
59,E09000020,Kensington and Chelsea,97,2020-03-26 09:00:03.356760
60,E10000016,Kent,96,2020-03-26 09:00:03.356760
61,E06000010,"Kingston upon Hull, City of",2,2020-03-26 09:00:03.356760
62,E09000021,Kingston upon Thames,37,2020-03-26 09:00:03.356760
63,E08000034,Kirklees,20,2020-03-26 09:00:03.356760
64,E08000011,Knowsley,9,2020-03-26 09:00:03.356760
