,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,82,2020-03-28 09:00:03.340365
1,E09000003,Barnet,115,2020-03-28 09:00:03.340365
2,E08000016,Barnsley,42,2020-03-28 09:00:03.340365
3,E06000022,Bath and North East Somerset,26,2020-03-28 09:00:03.340365
4,E06000055,Bedford,20,2020-03-28 09:00:03.340365
5,E09000004,Bexley,85,2020-03-28 09:00:03.340365
6,E08000025,Birmingham,366,2020-03-28 09:00:03.340365
7,E06000008,Blackburn with Darwen,7,2020-03-28 09:00:03.340365
8,E06000009,Blackpool,9,2020-03-28 09:00:03.340365
9,E08000001,Bolton,27,2020-03-28 09:00:03.340365
10,E06000058,"Bournemouth, Christchurch and Poole",20,2020-03-28 09:00:03.340365
11,E06000036,Bracknell Forest,16,2020-03-28 09:00:03.340365
12,E08000032,Bradford,29,2020-03-28 09:00:03.340365
13,E09000005,Brent,265,2020-03-28 09:00:03.340365
14,E06000043,Brighton and Hove,33,2020-03-28 09:00:03.340365
15,E06000023,"Bristol, City of",56,2020-03-28 09:00:03.340365
16,E09000006,Bromley,188,2020-03-28 09:00:03.340365
17,E10000002,Buckinghamshire,106,2020-03-28 09:00:03.340365
18,E08000002,Bury,30,2020-03-28 09:00:03.340365
19,E08000033,Calderdale,11,2020-03-28 09:00:03.340365
20,E10000003,Cambridgeshire,68,2020-03-28 09:00:03.340365
21,E09000007,Camden,99,2020-03-28 09:00:03.340365
22,E06000056,Central Bedfordshire,42,2020-03-28 09:00:03.340365
23,E06000049,Cheshire East,35,2020-03-28 09:00:03.340365
24,E06000050,Cheshire West and Chester,25,2020-03-28 09:00:03.340365
25,E06000052,Cornwall and Isles of Scilly,48,2020-03-28 09:00:03.340365
26,E06000047,County Durham,56,2020-03-28 09:00:03.340365
27,E08000026,Coventry,47,2020-03-28 09:00:03.340365
28,E09000008,Croydon,219,2020-03-28 09:00:03.340365
29,E10000006,Cumbria,211,2020-03-28 09:00:03.340365
30,E06000005,Darlington,11,2020-03-28 09:00:03.340365
31,E06000015,Derby,77,2020-03-28 09:00:03.340365
32,E10000007,Derbyshire,170,2020-03-28 09:00:03.340365
33,E10000008,Devon,65,2020-03-28 09:00:03.340365
34,E08000017,Doncaster,24,2020-03-28 09:00:03.340365
35,E06000059,Dorset,29,2020-03-28 09:00:03.340365
36,E08000027,Dudley,81,2020-03-28 09:00:03.340365
37,E09000009,Ealing,209,2020-03-28 09:00:03.340365
38,E06000011,East Riding of Yorkshire,23,2020-03-28 09:00:03.340365
39,E10000011,East Sussex,39,2020-03-28 09:00:03.340365
40,E09000010,Enfield,136,2020-03-28 09:00:03.340365
41,E10000012,Essex,166,2020-03-28 09:00:03.340365
42,E08000037,Gateshead,23,2020-03-28 09:00:03.340365
43,E10000013,Gloucestershire,78,2020-03-28 09:00:03.340365
44,E09000011,Greenwich,128,2020-03-28 09:00:03.340365
45,E09000012,Hackney and City of London,134,2020-03-28 09:00:03.340365
46,E06000006,Halton,10,2020-03-28 09:00:03.340365
47,E09000013,Hammersmith and Fulham,112,2020-03-28 09:00:03.340365
48,E10000014,Hampshire,317,2020-03-28 09:00:03.340365
49,E09000014,Haringey,113,2020-03-28 09:00:03.340365
50,E09000015,Harrow,196,2020-03-28 09:00:03.340365
51,E06000001,Hartlepool,6,2020-03-28 09:00:03.340365
52,E09000016,Havering,82,2020-03-28 09:00:03.340365
53,E06000019,"Herefordshire, County of",23,2020-03-28 09:00:03.340365
54,E10000015,Hertfordshire,206,2020-03-28 09:00:03.340365
55,E09000017,Hillingdon,129,2020-03-28 09:00:03.340365
56,E09000018,Hounslow,126,2020-03-28 09:00:03.340365
57,E06000046,Isle of Wight,8,2020-03-28 09:00:03.340365
58,E09000019,Islington,120,2020-03-28 09:00:03.340365
59,E09000020,Kensington and Chelsea,116,2020-03-28 09:00:03.340365
60,E10000016,Kent,182,2020-03-28 09:00:03.340365
61,E06000010,"Kingston upon Hull, City of",5,2020-03-28 09:00:03.340365
62,E09000021,Kingston upon Thames,52,2020-03-28 09:00:03.340365
63,E08000034,Kirklees,33,2020-03-28 09:00:03.340365
64,E08000011,Knowsley,15,2020-03-28 09:00:03.340365
65,E09000022,Lambeth,276,2020-03-28 09:00:03.340365
66,E10000017,Lancashire,141,2020-03-28 09:00:03.340365
67,E08000035,Leeds,80,2020-03-28 09:00:03.340365
68,E06000016,Leicester,61,2020-03-28 09:00:03.340365
69,E10000018,Leicestershire,128,2020-03-28 09:00:03.340365
70,E09000023,Lewisham,158,2020-03-28 09:00:03.340365
71,E10000019,Lincolnshire,39,2020-03-28 09:00:03.340365
72,E08000012,Liverpool,100,2020-03-28 09:00:03.340365
73,E06000032,Luton,47,2020-03-28 09:00:03.340365
