,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,   49,2020-04-09 09:00:02.144538
1,E06000002,Middlesbrough,  196,2020-04-09 09:00:02.144538
2,E06000003,Redcar and Cleveland,  119,2020-04-09 09:00:02.144538
3,E06000004,Stockton-on-Tees,  143,2020-04-09 09:00:02.144538
4,E06000005,Darlington,   77,2020-04-09 09:00:02.144538
5,E06000006,Halton,  127,2020-04-09 09:00:02.144538
6,E06000007,Warrington,  182,2020-04-09 09:00:02.144538
7,E06000008,Blackburn with Darwen,   92,2020-04-09 09:00:02.144538
8,E06000009,Blackpool,   94,2020-04-09 09:00:02.144538
9,E06000010,"Kingston upon Hull, City of",   58,2020-04-09 09:00:02.144538
10,E06000011,East Riding of Yorkshire,  123,2020-04-09 09:00:02.144538
11,E06000012,North East Lincolnshire,   50,2020-04-09 09:00:02.144538
12,E06000013,North Lincolnshire,   66,2020-04-09 09:00:02.144538
13,E06000014,York,   87,2020-04-09 09:00:02.144538
14,E06000015,Derby,  300,2020-04-09 09:00:02.144538
15,E06000016,Leicester,  250,2020-04-09 09:00:02.144538
16,E06000017,Rutland,    8,2020-04-09 09:00:02.144538
17,E06000018,Nottingham,  232,2020-04-09 09:00:02.144538
18,E06000019,"Herefordshire, County of",   81,2020-04-09 09:00:02.144538
19,E06000020,Telford and Wrekin,   96,2020-04-09 09:00:02.144538
20,E06000021,Stoke-on-Trent,  130,2020-04-09 09:00:02.144538
21,E06000022,Bath and North East Somerset,   77,2020-04-09 09:00:02.144538
22,E06000023,"Bristol, City of",  234,2020-04-09 09:00:02.144538
23,E06000024,North Somerset,   91,2020-04-09 09:00:02.144538
24,E06000025,South Gloucestershire,  155,2020-04-09 09:00:02.144538
25,E06000026,Plymouth,  110,2020-04-09 09:00:02.144538
26,E06000027,Torbay,   64,2020-04-09 09:00:02.144538
27,E06000030,Swindon,   88,2020-04-09 09:00:02.144538
28,E06000031,Peterborough,   80,2020-04-09 09:00:02.144538
29,E06000032,Luton,  205,2020-04-09 09:00:02.144538
30,E06000033,Southend-on-Sea,  156,2020-04-09 09:00:02.144538
31,E06000034,Thurrock,  134,2020-04-09 09:00:02.144538
32,E06000035,Medway,  232,2020-04-09 09:00:02.144538
33,E06000036,Bracknell Forest,   79,2020-04-09 09:00:02.144538
34,E06000037,West Berkshire,  121,2020-04-09 09:00:02.144538
35,E06000038,Reading,  129,2020-04-09 09:00:02.144538
36,E06000039,Slough,  169,2020-04-09 09:00:02.144538
37,E06000040,Windsor and Maidenhead,  117,2020-04-09 09:00:02.144538
38,E06000041,Wokingham,  129,2020-04-09 09:00:02.144538
39,E06000042,Milton Keynes,  195,2020-04-09 09:00:02.144538
40,E06000043,Brighton and Hove,  153,2020-04-09 09:00:02.144538
41,E06000044,Portsmouth,  130,2020-04-09 09:00:02.144538
42,E06000045,Southampton,  191,2020-04-09 09:00:02.144538
43,E06000046,Isle of Wight,   38,2020-04-09 09:00:02.144538
44,E06000047,County Durham,  410,2020-04-09 09:00:02.144538
45,E06000049,Cheshire East,  226,2020-04-09 09:00:02.144538
46,E06000050,Cheshire West and Chester,  261,2020-04-09 09:00:02.144538
47,E06000051,Shropshire,  174,2020-04-09 09:00:02.144538
48,E06000052,Cornwall and Isles of Scilly,  224,2020-04-09 09:00:02.144538
