,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,11,2020-03-30 09:00:02.461883
1,E06000002,Middlesbrough,26,2020-03-30 09:00:02.461883
2,E06000003,Redcar and Cleveland,25,2020-03-30 09:00:02.461883
3,E06000004,Stockton-on-Tees,34,2020-03-30 09:00:02.461883
4,E06000005,Darlington,15,2020-03-30 09:00:02.461883
5,E06000006,Halton,16,2020-03-30 09:00:02.461883
6,E06000007,Warrington,21,2020-03-30 09:00:02.461883
7,E06000008,Blackburn with Darwen,12,2020-03-30 09:00:02.461883
8,E06000009,Blackpool,10,2020-03-30 09:00:02.461883
9,E06000010,"Kingston upon Hull, City of",9,2020-03-30 09:00:02.461883
10,E06000011,East Riding of Yorkshire,31,2020-03-30 09:00:02.461883
11,E06000012,North East Lincolnshire,16,2020-03-30 09:00:02.461883
12,E06000013,North Lincolnshire,13,2020-03-30 09:00:02.461883
13,E06000014,York,21,2020-03-30 09:00:02.461883
14,E06000015,Derby,105,2020-03-30 09:00:02.461883
15,E06000016,Leicester,65,2020-03-30 09:00:02.461883
16,E06000017,Rutland,2,2020-03-30 09:00:02.461883
17,E06000018,Nottingham,97,2020-03-30 09:00:02.461883
18,E06000019,"Herefordshire, County of",25,2020-03-30 09:00:02.461883
19,E06000020,Telford and Wrekin,34,2020-03-30 09:00:02.461883
20,E06000021,Stoke-on-Trent,28,2020-03-30 09:00:02.461883
21,E06000022,Bath and North East Somerset,36,2020-03-30 09:00:02.461883
22,E06000023,"Bristol, City of",78,2020-03-30 09:00:02.461883
23,E06000024,North Somerset,32,2020-03-30 09:00:02.461883
24,E06000025,South Gloucestershire,53,2020-03-30 09:00:02.461883
25,E06000026,Plymouth,42,2020-03-30 09:00:02.461883
26,E06000027,Torbay,30,2020-03-30 09:00:02.461883
27,E06000030,Swindon,26,2020-03-30 09:00:02.461883
28,E06000031,Peterborough,21,2020-03-30 09:00:02.461883
29,E06000032,Luton,63,2020-03-30 09:00:02.461883
30,E06000033,Southend-on-Sea,24,2020-03-30 09:00:02.461883
31,E06000034,Thurrock,37,2020-03-30 09:00:02.461883
32,E06000035,Medway,57,2020-03-30 09:00:02.461883
33,E06000036,Bracknell Forest,19,2020-03-30 09:00:02.461883
34,E06000037,West Berkshire,40,2020-03-30 09:00:02.461883
35,E06000038,Reading,27,2020-03-30 09:00:02.461883
36,E06000039,Slough,73,2020-03-30 09:00:02.461883
37,E06000040,Windsor and Maidenhead,48,2020-03-30 09:00:02.461883
38,E06000041,Wokingham,23,2020-03-30 09:00:02.461883
39,E06000042,Milton Keynes,82,2020-03-30 09:00:02.461883
40,E06000043,Brighton and Hove,33,2020-03-30 09:00:02.461883
41,E06000044,Portsmouth,70,2020-03-30 09:00:02.461883
42,E06000045,Southampton,43,2020-03-30 09:00:02.461883
43,E06000046,Isle of Wight,10,2020-03-30 09:00:02.461883
44,E06000047,County Durham,81,2020-03-30 09:00:02.461883
45,E06000049,Cheshire East,54,2020-03-30 09:00:02.461883
46,E06000050,Cheshire West and Chester,34,2020-03-30 09:00:02.461883
47,E06000051,Shropshire,67,2020-03-30 09:00:02.461883
48,E06000052,Cornwall and Isles of Scilly,64,2020-03-30 09:00:02.461883
49,E06000054,Wiltshire,67,2020-03-30 09:00:02.461883
50,E06000055,Bedford,32,2020-03-30 09:00:02.461883
51,E06000056,Central Bedfordshire,56,2020-03-30 09:00:02.461883
52,E06000057,Northumberland,61,2020-03-30 09:00:02.461883
53,E06000058,"Bournemouth, Christchurch and Poole",34,2020-03-30 09:00:02.461883
54,E06000059,Dorset,36,2020-03-30 09:00:02.461883
55,E08000001,Bolton,42,2020-03-30 09:00:02.461883
56,E08000002,Bury,55,2020-03-30 09:00:02.461883
57,E08000003,Manchester,91,2020-03-30 09:00:02.461883
58,E08000004,Oldham,82,2020-03-30 09:00:02.461883
59,E08000005,Rochdale,65,2020-03-30 09:00:02.461883
60,E08000006,Salford,92,2020-03-30 09:00:02.461883
61,E08000007,Stockport,79,2020-03-30 09:00:02.461883
62,E08000008,Tameside,58,2020-03-30 09:00:02.461883
63,E08000009,Trafford,77,2020-03-30 09:00:02.461883
64,E08000010,Wigan,39,2020-03-30 09:00:02.461883
65,E08000011,Knowsley,26,2020-03-30 09:00:02.461883
66,E08000012,Liverpool,157,2020-03-30 09:00:02.461883
67,E08000013,St. Helens,39,2020-03-30 09:00:02.461883
68,E08000014,Sefton,45,2020-03-30 09:00:02.461883
69,E08000015,Wirral,44,2020-03-30 09:00:02.461883
70,E08000016,Barnsley,70,2020-03-30 09:00:02.461883
71,E08000017,Doncaster,44,2020-03-30 09:00:02.461883
72,E08000018,Rotherham,60,2020-03-30 09:00:02.461883
73,E08000019,Sheffield,387,2020-03-30 09:00:02.461883
74,E08000021,Newcastle upon Tyne,155,2020-03-30 09:00:02.461883
75,E08000022,North Tyneside,62,2020-03-30 09:00:02.461883
76,E08000023,South Tyneside,27,2020-03-30 09:00:02.461883
77,E08000024,Sunderland,76,2020-03-30 09:00:02.461883
78,E08000025,Birmingham,513,2020-03-30 09:00:02.461883
79,E08000026,Coventry,79,2020-03-30 09:00:02.461883
80,E08000027,Dudley,122,2020-03-30 09:00:02.461883
81,E08000028,Sandwell,138,2020-03-30 09:00:02.461883
82,E08000029,Solihull,74,2020-03-30 09:00:02.461883
83,E08000030,Walsall,125,2020-03-30 09:00:02.461883
84,E08000031,Wolverhampton,153,2020-03-30 09:00:02.461883
85,E08000032,Bradford,46,2020-03-30 09:00:02.461883
86,E08000033,Calderdale,29,2020-03-30 09:00:02.461883
87,E08000034,Kirklees,60,2020-03-30 09:00:02.461883
88,E08000035,Leeds,113,2020-03-30 09:00:02.461883
89,E08000036,Wakefield,54,2020-03-30 09:00:02.461883
90,E08000037,Gateshead,44,2020-03-30 09:00:02.461883
91,E09000002,Barking and Dagenham,100,2020-03-30 09:00:02.461883
92,E09000003,Barnet,119,2020-03-30 09:00:02.461883
93,E09000004,Bexley,119,2020-03-30 09:00:02.461883
94,E09000005,Brent,321,2020-03-30 09:00:02.461883
95,E09000006,Bromley,268,2020-03-30 09:00:02.461883
96,E09000007,Camden,119,2020-03-30 09:00:02.461883
97,E09000008,Croydon,289,2020-03-30 09:00:02.461883
98,E09000009,Ealing,265,2020-03-30 09:00:02.461883
99,E09000010,Enfield,151,2020-03-30 09:00:02.461883
100,E09000011,Greenwich,168,2020-03-30 09:00:02.461883
101,E09000012,Hackney and City of London,177,2020-03-30 09:00:02.461883
102,E09000013,Hammersmith and Fulham,144,2020-03-30 09:00:02.461883
103,E09000014,Haringey,141,2020-03-30 09:00:02.461883
104,E09000015,Harrow,251,2020-03-30 09:00:02.461883
105,E09000016,Havering,105,2020-03-30 09:00:02.461883
106,E09000017,Hillingdon,163,2020-03-30 09:00:02.461883
107,E09000018,Hounslow,152,2020-03-30 09:00:02.461883
108,E09000019,Islington,141,2020-03-30 09:00:02.461883
109,E09000020,Kensington and Chelsea,141,2020-03-30 09:00:02.461883
110,E09000021,Kingston upon Thames,82,2020-03-30 09:00:02.461883
111,E09000022,Lambeth,358,2020-03-30 09:00:02.461883
112,E09000023,Lewisham,218,2020-03-30 09:00:02.461883
113,E09000024,Merton,161,2020-03-30 09:00:02.461883
114,E09000025,Newham,230,2020-03-30 09:00:02.461883
115,E09000026,Redbridge,143,2020-03-30 09:00:02.461883
116,E09000027,Richmond upon Thames,94,2020-03-30 09:00:02.461883
117,E09000028,Southwark,365,2020-03-30 09:00:02.461883
118,E09000029,Sutton,93,2020-03-30 09:00:02.461883
119,E09000030,Tower Hamlets,184,2020-03-30 09:00:02.461883
120,E09000031,Waltham Forest,182,2020-03-30 09:00:02.461883
121,E09000032,Wandsworth,287,2020-03-30 09:00:02.461883
122,E09000033,Westminster,226,2020-03-30 09:00:02.461883
123,E10000002,Buckinghamshire,128,2020-03-30 09:00:02.461883
124,E10000003,Cambridgeshire,100,2020-03-30 09:00:02.461883
125,E10000006,Cumbria,292,2020-03-30 09:00:02.461883
126,E10000007,Derbyshire,210,2020-03-30 09:00:02.461883
127,E10000008,Devon,91,2020-03-30 09:00:02.461883
128,E10000011,East Sussex,44,2020-03-30 09:00:02.461883
129,E10000012,Essex,244,2020-03-30 09:00:02.461883
130,E10000013,Gloucestershire,107,2020-03-30 09:00:02.461883
131,E10000014,Hampshire,432,2020-03-30 09:00:02.461883
132,E10000015,Hertfordshire,282,2020-03-30 09:00:02.461883
133,E10000016,Kent,253,2020-03-30 09:00:02.461883
134,E10000017,Lancashire,231,2020-03-30 09:00:02.461883
135,E10000018,Leicestershire,141,2020-03-30 09:00:02.461883
136,E10000019,Lincolnshire,72,2020-03-30 09:00:02.461883
137,E10000020,Norfolk,107,2020-03-30 09:00:02.461883
138,E10000021,Northamptonshire,126,2020-03-30 09:00:02.461883
139,E10000023,North Yorkshire,88,2020-03-30 09:00:02.461883
140,E10000024,Nottinghamshire,193,2020-03-30 09:00:02.461883
141,E10000025,Oxfordshire,140,2020-03-30 09:00:02.461883
142,E10000027,Somerset,36,2020-03-30 09:00:02.461883
143,E10000028,Staffordshire,212,2020-03-30 09:00:02.461883
144,E10000029,Suffolk,87,2020-03-30 09:00:02.461883
145,E10000030,Surrey,338,2020-03-30 09:00:02.461883
146,E10000031,Warwickshire,127,2020-03-30 09:00:02.461883
147,E10000032,West Sussex,113,2020-03-30 09:00:02.461883
148,E10000034,Worcestershire,126,2020-03-30 09:00:02.461883
