,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E08000025,Birmingham,852,2020-04-03 09:00:01.955600
1,E10000015,Hertfordshire,582,2020-04-03 09:00:01.955600
2,E10000012,Essex,517,2020-04-03 09:00:01.955600
3,E10000017,Lancashire,463,2020-04-03 09:00:01.955600
4,E10000006,Cumbria,512,2020-04-03 09:00:01.955600
5,E10000016,Kent,531,2020-04-03 09:00:01.955600
6,E09000023,Lewisham,346,2020-04-03 09:00:01.955600
7,E08000019,Sheffield,602,2020-04-03 09:00:01.955600
8,E09000008,Croydon,437,2020-04-03 09:00:01.955600
9,E09000005,Brent,559,2020-04-03 09:00:01.955600
10,E08000012,Liverpool,309,2020-04-03 09:00:01.955600
11,E10000030,Surrey,618,2020-04-03 09:00:01.955600
12,E10000014,Hampshire,699,2020-04-03 09:00:01.955600
13,E09000022,Lambeth,508,2020-04-03 09:00:01.955600
14,E10000031,Warwickshire,235,2020-04-03 09:00:01.955600
15,E09000012,Hackney and City of London,266,2020-04-03 09:00:01.955600
16,E09000006,Bromley,366,2020-04-03 09:00:01.955600
17,E09000004,Bexley,190,2020-04-03 09:00:01.955600
18,E10000025,Oxfordshire,277,2020-04-03 09:00:01.955600
19,E10000028,Staffordshire,372,2020-04-03 09:00:01.955600
20,E09000011,Greenwich,247,2020-04-03 09:00:01.955600
21,E09000003,Barnet,510,2020-04-03 09:00:01.955600
22,E09000028,Southwark,516,2020-04-03 09:00:01.955600
23,E08000013,St. Helens,112,2020-04-03 09:00:01.955600
24,E08000003,Manchester,195,2020-04-03 09:00:01.955600
25,E09000025,Newham,370,2020-04-03 09:00:01.955600
26,E08000027,Dudley,194,2020-04-03 09:00:01.955600
27,E09000032,Wandsworth,397,2020-04-03 09:00:01.955600
28,E10000013,Gloucestershire,208,2020-04-03 09:00:01.955600
29,E10000007,Derbyshire,342,2020-04-03 09:00:01.955600
30,E09000009,Ealing,385,2020-04-03 09:00:01.955600
31,E06000047,County Durham,165,2020-04-03 09:00:01.955600
32,E09000029,Sutton,176,2020-04-03 09:00:01.955600
33,E08000014,Sefton,119,2020-04-03 09:00:01.955600
34,E08000007,Stockport,140,2020-04-03 09:00:01.955600
35,E10000021,Northamptonshire,220,2020-04-03 09:00:01.955600
36,E08000030,Walsall,231,2020-04-03 09:00:01.955600
37,E06000050,Cheshire West and Chester,97,2020-04-03 09:00:01.955600
38,E10000029,Suffolk,157,2020-04-03 09:00:01.955600
39,E09000015,Harrow,378,2020-04-03 09:00:01.955600
40,E09000031,Waltham Forest,290,2020-04-03 09:00:01.955600
41,E08000006,Salford,158,2020-04-03 09:00:01.955600
42,E08000028,Sandwell,215,2020-04-03 09:00:01.955600
43,E08000015,Wirral,111,2020-04-03 09:00:01.955600
44,E08000026,Coventry,155,2020-04-03 09:00:01.955600
45,E09000017,Hillingdon,250,2020-04-03 09:00:01.955600
46,E06000033,Southend-on-Sea,71,2020-04-03 09:00:01.955600
47,E06000057,Northumberland,119,2020-04-03 09:00:01.955600
48,E10000020,Norfolk,207,2020-04-03 09:00:01.955600
49,E09000024,Merton,235,2020-04-03 09:00:01.955600
50,E08000021,Newcastle upon Tyne,252,2020-04-03 09:00:01.955600
51,E08000011,Knowsley,79,2020-04-03 09:00:01.955600
52,E06000049,Cheshire East,102,2020-04-03 09:00:01.955600
53,E08000022,North Tyneside,113,2020-04-03 09:00:01.955600
54,E06000007,Warrington,65,2020-04-03 09:00:01.955600
55,E10000003,Cambridgeshire,166,2020-04-03 09:00:01.955600
56,E08000010,Wigan,91,2020-04-03 09:00:01.955600
57,E06000032,Luton,115,2020-04-03 09:00:01.955600
58,E06000015,Derby,167,2020-04-03 09:00:01.955600
59,E09000010,Enfield,264,2020-04-03 09:00:01.955600
60,E08000032,Bradford,118,2020-04-03 09:00:01.955600
61,E10000024,Nottinghamshire,298,2020-04-03 09:00:01.955600
62,E08000009,Trafford,126,2020-04-03 09:00:01.955600
63,E08000018,Rotherham,129,2020-04-03 09:00:01.955600
64,E08000024,Sunderland,131,2020-04-03 09:00:01.955600
65,E06000023,"Bristol, City of",137,2020-04-03 09:00:01.955600
66,E10000019,Lincolnshire,153,2020-04-03 09:00:01.955600
67,E10000034,Worcestershire,221,2020-04-03 09:00:01.955600
68,E09000018,Hounslow,234,2020-04-03 09:00:01.955600
69,E09000021,Kingston upon Thames,127,2020-04-03 09:00:01.955600
70,E10000008,Devon,147,2020-04-03 09:00:01.955600
71,E08000001,Bolton,69,2020-04-03 09:00:01.955600
72,E06000056,Central Bedfordshire,99,2020-04-03 09:00:01.955600
73,E09000030,Tower Hamlets,259,2020-04-03 09:00:01.955600
74,E06000034,Thurrock,79,2020-04-03 09:00:01.955600
75,E08000008,Tameside,94,2020-04-03 09:00:01.955600
