,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,30,2020-03-22 13:30:01.341872
1,E09000003,Barnet,81,2020-03-22 13:30:01.341872
2,E08000016,Barnsley,7,2020-03-22 13:30:01.341872
3,E06000022,Bath and North East Somerset,11,2020-03-22 13:30:01.341872
4,E06000055,Bedford,4,2020-03-22 13:30:01.341872
5,E09000004,Bexley,37,2020-03-22 13:30:01.341872
6,E08000025,Birmingham,75,2020-03-22 13:30:01.341872
7,E06000008,Blackburn with Darwen,1,2020-03-22 13:30:01.341872
8,E06000009,Blackpool,5,2020-03-22 13:30:01.341872
9,E08000001,Bolton,15,2020-03-22 13:30:01.341872
10,E06000058,"Bournemouth, Christchurch and Poole",11,2020-03-22 13:30:01.341872
11,E06000036,Bracknell Forest,3,2020-03-22 13:30:01.341872
12,E08000032,Bradford,10,2020-03-22 13:30:01.341872
13,E09000005,Brent,108,2020-03-22 13:30:01.341872
14,E06000043,Brighton and Hove,17,2020-03-22 13:30:01.341872
15,E06000023,"Bristol, City of",20,2020-03-22 13:30:01.341872
16,E09000006,Bromley,63,2020-03-22 13:30:01.341872
17,E10000002,Buckinghamshire,41,2020-03-22 13:30:01.341872
18,E08000002,Bury,11,2020-03-22 13:30:01.341872
19,E08000033,Calderdale,5,2020-03-22 13:30:01.341872
20,E10000003,Cambridgeshire,17,2020-03-22 13:30:01.341872
21,E09000007,Camden,51,2020-03-22 13:30:01.341872
22,E06000056,Central Bedfordshire,11,2020-03-22 13:30:01.341872
23,E06000049,Cheshire East,11,2020-03-22 13:30:01.341872
24,E06000050,Cheshire West and Chester,10,2020-03-22 13:30:01.341872
25,E06000052,Cornwall and Isles of Scilly,20,2020-03-22 13:30:01.341872
26,E06000047,County Durham,11,2020-03-22 13:30:01.341872
27,E08000026,Coventry,9,2020-03-22 13:30:01.341872
28,E09000008,Croydon,81,2020-03-22 13:30:01.341872
29,E10000006,Cumbria,57,2020-03-22 13:30:01.341872
30,E06000005,Darlington,3,2020-03-22 13:30:01.341872
31,E06000015,Derby,18,2020-03-22 13:30:01.341872
32,E10000007,Derbyshire,64,2020-03-22 13:30:01.341872
33,E10000008,Devon,42,2020-03-22 13:30:01.341872
34,E08000017,Doncaster,5,2020-03-22 13:30:01.341872
35,E06000059,Dorset,8,2020-03-22 13:30:01.341872
36,E08000027,Dudley,19,2020-03-22 13:30:01.341872
37,E09000009,Ealing,80,2020-03-22 13:30:01.341872
38,E06000011,East Riding of Yorkshire,15,2020-03-22 13:30:01.341872
39,E10000011,East Sussex,8,2020-03-22 13:30:01.341872
40,E09000010,Enfield,54,2020-03-22 13:30:01.341872
41,E10000012,Essex,45,2020-03-22 13:30:01.341872
42,E08000037,Gateshead,2,2020-03-22 13:30:01.341872
43,E10000013,Gloucestershire,27,2020-03-22 13:30:01.341872
44,E09000011,Greenwich,54,2020-03-22 13:30:01.341872
45,E09000012,Hackney and City of London,52,2020-03-22 13:30:01.341872
46,E06000006,Halton,7,2020-03-22 13:30:01.341872
47,E09000013,Hammersmith and Fulham,45,2020-03-22 13:30:01.341872
48,E10000014,Hampshire,138,2020-03-22 13:30:01.341872
49,E09000014,Haringey,51,2020-03-22 13:30:01.341872
50,E09000015,Harrow,89,2020-03-22 13:30:01.341872
51,E06000001,Hartlepool,2,2020-03-22 13:30:01.341872
52,E09000016,Havering,30,2020-03-22 13:30:01.341872
53,E06000019,"Herefordshire, County of",7,2020-03-22 13:30:01.341872
54,E10000015,Hertfordshire,75,2020-03-22 13:30:01.341872
55,E09000017,Hillingdon,50,2020-03-22 13:30:01.341872
56,E09000018,Hounslow,52,2020-03-22 13:30:01.341872
57,E06000046,Isle of Wight,2,2020-03-22 13:30:01.341872
58,E09000019,Islington,48,2020-03-22 13:30:01.341872
59,E09000020,Kensington and Chelsea,75,2020-03-22 13:30:01.341872
60,E10000016,Kent,45,2020-03-22 13:30:01.341872
61,E06000010,"Kingston upon Hull, City of",1,2020-03-22 13:30:01.341872
62,E09000021,Kingston upon Thames,22,2020-03-22 13:30:01.341872
63,E08000034,Kirklees,8,2020-03-22 13:30:01.341872
64,E08000011,Knowsley,4,2020-03-22 13:30:01.341872
65,E09000022,Lambeth,118,2020-03-22 13:30:01.341872
66,E10000017,Lancashire,30,2020-03-22 13:30:01.341872
67,E08000035,Leeds,20,2020-03-22 13:30:01.341872
68,E06000016,Leicester,14,2020-03-22 13:30:01.341872
69,E10000018,Leicestershire,29,2020-03-22 13:30:01.341872
70,E09000023,Lewisham,60,2020-03-22 13:30:01.341872
71,E10000019,Lincolnshire,9,2020-03-22 13:30:01.341872
72,E08000012,Liverpool,18,2020-03-22 13:30:01.341872
73,E06000032,Luton,5,2020-03-22 13:30:01.341872
74,E08000003,Manchester,28,2020-03-22 13:30:01.341872
75,E06000035,Medway,11,2020-03-22 13:30:01.341872
76,E09000024,Merton,56,2020-03-22 13:30:01.341872
77,E06000002,Middlesbrough,1,2020-03-22 13:30:01.341872
78,E06000042,Milton Keynes,7,2020-03-22 13:30:01.341872
79,E08000021,Newcastle upon Tyne,28,2020-03-22 13:30:01.341872
80,E09000025,Newham,51,2020-03-22 13:30:01.341872
81,E10000020,Norfolk,24,2020-03-22 13:30:01.341872
82,E06000012,North East Lincolnshire,0,2020-03-22 13:30:01.341872
83,E06000013,North Lincolnshire,2,2020-03-22 13:30:01.341872
84,E06000024,North Somerset,5,2020-03-22 13:30:01.341872
85,E08000022,North Tyneside,17,2020-03-22 13:30:01.341872
86,E10000023,North Yorkshire,16,2020-03-22 13:30:01.341872
87,E10000021,Northamptonshire,20,2020-03-22 13:30:01.341872
88,E06000057,Northumberland,10,2020-03-22 13:30:01.341872
89,E06000018,Nottingham,22,2020-03-22 13:30:01.341872
90,E10000024,Nottinghamshire,45,2020-03-22 13:30:01.341872
91,E08000004,Oldham,15,2020-03-22 13:30:01.341872
92,E10000025,Oxfordshire,44,2020-03-22 13:30:01.341872
93,E06000031,Peterborough,2,2020-03-22 13:30:01.341872
94,E06000026,Plymouth,11,2020-03-22 13:30:01.341872
95,E06000044,Portsmouth,22,2020-03-22 13:30:01.341872
96,E06000038,Reading,7,2020-03-22 13:30:01.341872
97,E09000026,Redbridge,42,2020-03-22 13:30:01.341872
98,E06000003,Redcar and Cleveland,3,2020-03-22 13:30:01.341872
99,E09000027,Richmond upon Thames,22,2020-03-22 13:30:01.341872
100,E08000005,Rochdale,13,2020-03-22 13:30:01.341872
101,E08000018,Rotherham,6,2020-03-22 13:30:01.341872
102,E06000017,Rutland,0,2020-03-22 13:30:01.341872
103,E08000006,Salford,12,2020-03-22 13:30:01.341872
104,E08000028,Sandwell,15,2020-03-22 13:30:01.341872
105,E08000014,Sefton,7,2020-03-22 13:30:01.341872
106,E08000019,Sheffield,61,2020-03-22 13:30:01.341872
107,E06000051,Shropshire,3,2020-03-22 13:30:01.341872
108,E06000039,Slough,21,2020-03-22 13:30:01.341872
109,E08000029,Solihull,4,2020-03-22 13:30:01.341872
110,E10000027,Somerset,12,2020-03-22 13:30:01.341872
111,E06000025,South Gloucestershire,14,2020-03-22 13:30:01.341872
112,E08000023,South Tyneside,5,2020-03-22 13:30:01.341872
113,E06000045,Southampton,8,2020-03-22 13:30:01.341872
114,E06000033,Southend-on-Sea,8,2020-03-22 13:30:01.341872
115,E09000028,Southwark,134,2020-03-22 13:30:01.341872
116,E08000013,St. Helens,3,2020-03-22 13:30:01.341872
117,E10000028,Staffordshire,35,2020-03-22 13:30:01.341872
118,E08000007,Stockport,24,2020-03-22 13:30:01.341872
119,E06000004,Stockton-on-Tees,10,2020-03-22 13:30:01.341872
120,E06000021,Stoke-on-Trent,2,2020-03-22 13:30:01.341872
121,E10000029,Suffolk,15,2020-03-22 13:30:01.341872
122,E08000024,Sunderland,11,2020-03-22 13:30:01.341872
123,E10000030,Surrey,65,2020-03-22 13:30:01.341872
124,E09000029,Sutton,23,2020-03-22 13:30:01.341872
125,E06000030,Swindon,5,2020-03-22 13:30:01.341872
126,E08000008,Tameside,21,2020-03-22 13:30:01.341872
127,E06000020,Telford and Wrekin,0,2020-03-22 13:30:01.341872
128,E06000034,Thurrock,8,2020-03-22 13:30:01.341872
129,E06000027,Torbay,10,2020-03-22 13:30:01.341872
130,E09000030,Tower Hamlets,51,2020-03-22 13:30:01.341872
131,E08000009,Trafford,19,2020-03-22 13:30:01.341872
132,E08000036,Wakefield,8,2020-03-22 13:30:01.341872
133,E08000030,Walsall,28,2020-03-22 13:30:01.341872
134,E09000031,Waltham Forest,38,2020-03-22 13:30:01.341872
135,E09000032,Wandsworth,107,2020-03-22 13:30:01.341872
136,E06000007,Warrington,4,2020-03-22 13:30:01.341872
137,E10000031,Warwickshire,17,2020-03-22 13:30:01.341872
138,E06000037,West Berkshire,7,2020-03-22 13:30:01.341872
139,E10000032,West Sussex,27,2020-03-22 13:30:01.341872
140,E09000033,Westminster,110,2020-03-22 13:30:01.341872
141,E08000010,Wigan,9,2020-03-22 13:30:01.341872
142,E06000054,Wiltshire,20,2020-03-22 13:30:01.341872
143,E06000040,Windsor and Maidenhead,13,2020-03-22 13:30:01.341872
144,E08000015,Wirral,10,2020-03-22 13:30:01.341872
145,E06000041,Wokingham,13,2020-03-22 13:30:01.341872
146,E08000031,Wolverhampton,45,2020-03-22 13:30:01.341872
147,E10000034,Worcestershire,12,2020-03-22 13:30:01.341872
148,E06000014,York,8,2020-03-22 13:30:01.341872
