,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,   55,2020-04-10 09:00:02.094438
1,E06000002,Middlesbrough,  213,2020-04-10 09:00:02.094438
2,E06000003,Redcar and Cleveland,  128,2020-04-10 09:00:02.094438
3,E06000004,Stockton-on-Tees,  152,2020-04-10 09:00:02.094438
4,E06000005,Darlington,   95,2020-04-10 09:00:02.094438
5,E06000006,Halton,  148,2020-04-10 09:00:02.094438
6,E06000007,Warrington,  211,2020-04-10 09:00:02.094438
7,E06000008,Blackburn with Darwen,   95,2020-04-10 09:00:02.094438
8,E06000009,Blackpool,   98,2020-04-10 09:00:02.094438
9,E06000010,"Kingston upon Hull, City of",   74,2020-04-10 09:00:02.094438
10,E06000011,East Riding of Yorkshire,  150,2020-04-10 09:00:02.094438
11,E06000012,North East Lincolnshire,   58,2020-04-10 09:00:02.094438
12,E06000013,North Lincolnshire,   71,2020-04-10 09:00:02.094438
13,E06000014,York,  101,2020-04-10 09:00:02.094438
14,E06000015,Derby,  303,2020-04-10 09:00:02.094438
15,E06000016,Leicester,  287,2020-04-10 09:00:02.094438
16,E06000017,Rutland,    8,2020-04-10 09:00:02.094438
17,E06000018,Nottingham,  261,2020-04-10 09:00:02.094438
18,E06000019,"Herefordshire, County of",   84,2020-04-10 09:00:02.094438
19,E06000020,Telford and Wrekin,  102,2020-04-10 09:00:02.094438
20,E06000021,Stoke-on-Trent,  136,2020-04-10 09:00:02.094438
21,E06000022,Bath and North East Somerset,   84,2020-04-10 09:00:02.094438
22,E06000023,"Bristol, City of",  245,2020-04-10 09:00:02.094438
23,E06000024,North Somerset,   96,2020-04-10 09:00:02.094438
24,E06000025,South Gloucestershire,  165,2020-04-10 09:00:02.094438
25,E06000026,Plymouth,  112,2020-04-10 09:00:02.094438
26,E06000027,Torbay,   66,2020-04-10 09:00:02.094438
27,E06000030,Swindon,  111,2020-04-10 09:00:02.094438
28,E06000031,Peterborough,   85,2020-04-10 09:00:02.094438
29,E06000032,Luton,  218,2020-04-10 09:00:02.094438
30,E06000033,Southend-on-Sea,  160,2020-04-10 09:00:02.094438
31,E06000034,Thurrock,  145,2020-04-10 09:00:02.094438
32,E06000035,Medway,  236,2020-04-10 09:00:02.094438
33,E06000036,Bracknell Forest,   90,2020-04-10 09:00:02.094438
34,E06000037,West Berkshire,  131,2020-04-10 09:00:02.094438
35,E06000038,Reading,  141,2020-04-10 09:00:02.094438
36,E06000039,Slough,  194,2020-04-10 09:00:02.094438
37,E06000040,Windsor and Maidenhead,  126,2020-04-10 09:00:02.094438
38,E06000041,Wokingham,  142,2020-04-10 09:00:02.094438
39,E06000042,Milton Keynes,  221,2020-04-10 09:00:02.094438
40,E06000043,Brighton and Hove,  165,2020-04-10 09:00:02.094438
41,E06000044,Portsmouth,  136,2020-04-10 09:00:02.094438
42,E06000045,Southampton,  192,2020-04-10 09:00:02.094438
43,E06000046,Isle of Wight,   41,2020-04-10 09:00:02.094438
44,E06000047,County Durham,  450,2020-04-10 09:00:02.094438
45,E06000049,Cheshire East,  257,2020-04-10 09:00:02.094438
46,E06000050,Cheshire West and Chester,  289,2020-04-10 09:00:02.094438
47,E06000051,Shropshire,  184,2020-04-10 09:00:02.094438
48,E06000052,Cornwall and Isles of Scilly,  246,2020-04-10 09:00:02.094438
49,E06000054,Wiltshire,  195,2020-04-10 09:00:02.094438
50,E06000055,Bedford,  139,2020-04-10 09:00:02.094438
51,E06000056,Central Bedfordshire,  190,2020-04-10 09:00:02.094438
52,E06000057,Northumberland,  298,2020-04-10 09:00:02.094438
53,E06000058,"Bournemouth, Christchurch and Poole",  131,2020-04-10 09:00:02.094438
54,E06000059,Dorset,  142,2020-04-10 09:00:02.094438
55,E08000001,Bolton,  223,2020-04-10 09:00:02.094438
56,E08000002,Bury,  177,2020-04-10 09:00:02.094438
57,E08000003,Manchester,  454,2020-04-10 09:00:02.094438
58,E08000004,Oldham,  267,2020-04-10 09:00:02.094438
59,E08000005,Rochdale,  209,2020-04-10 09:00:02.094438
60,E08000006,Salford,  285,2020-04-10 09:00:02.094438
61,E08000007,Stockport,  338,2020-04-10 09:00:02.094438
62,E08000008,Tameside,  217,2020-04-10 09:00:02.094438
63,E08000009,Trafford,  272,2020-04-10 09:00:02.094438
64,E08000010,Wigan,  223,2020-04-10 09:00:02.094438
65,E08000011,Knowsley,  227,2020-04-10 09:00:02.094438
66,E08000012,Liverpool,  634,2020-04-10 09:00:02.094438
67,E08000013,St. Helens,  306,2020-04-10 09:00:02.094438
68,E08000014,Sefton,  351,2020-04-10 09:00:02.094438
69,E08000015,Wirral,  353,2020-04-10 09:00:02.094438
70,E08000016,Barnsley,  248,2020-04-10 09:00:02.094438
71,E08000017,Doncaster,  170,2020-04-10 09:00:02.094438
72,E08000018,Rotherham,  262,2020-04-10 09:00:02.094438
73,E08000019,Sheffield,"1,020",2020-04-10 09:00:02.094438
74,E08000021,Newcastle upon Tyne,  464,2020-04-10 09:00:02.094438
75,E08000022,North Tyneside,  262,2020-04-10 09:00:02.094438
76,E08000023,South Tyneside,  120,2020-04-10 09:00:02.094438
77,E08000024,Sunderland,  349,2020-04-10 09:00:02.094438
78,E08000025,Birmingham,"1,524",2020-04-10 09:00:02.094438
79,E08000026,Coventry,  299,2020-04-10 09:00:02.094438
80,E08000027,Dudley,  358,2020-04-10 09:00:02.094438
81,E08000028,Sandwell,  435,2020-04-10 09:00:02.094438
82,E08000029,Solihull,  268,2020-04-10 09:00:02.094438
83,E08000030,Walsall,  436,2020-04-10 09:00:02.094438
84,E08000031,Wolverhampton,  368,2020-04-10 09:00:02.094438
85,E08000032,Bradford,  278,2020-04-10 09:00:02.094438
86,E08000033,Calderdale,  119,2020-04-10 09:00:02.094438
87,E08000034,Kirklees,  255,2020-04-10 09:00:02.094438
88,E08000035,Leeds,  437,2020-04-10 09:00:02.094438
89,E08000036,Wakefield,  229,2020-04-10 09:00:02.094438
90,E08000037,Gateshead,  240,2020-04-10 09:00:02.094438
91,E09000002,Barking and Dagenham,  269,2020-04-10 09:00:02.094438
92,E09000003,Barnet,  788,2020-04-10 09:00:02.094438
93,E09000004,Bexley,  343,2020-04-10 09:00:02.094438
94,E09000005,Brent,  880,2020-04-10 09:00:02.094438
95,E09000006,Bromley,  620,2020-04-10 09:00:02.094438
96,E09000007,Camden,  356,2020-04-10 09:00:02.094438
97,E09000008,Croydon,  813,2020-04-10 09:00:02.094438
98,E09000009,Ealing,  589,2020-04-10 09:00:02.094438
99,E09000010,Enfield,  414,2020-04-10 09:00:02.094438
