,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,   36,2020-04-08 09:00:02.171514
1,E06000002,Middlesbrough,  169,2020-04-08 09:00:02.171514
2,E06000003,Redcar and Cleveland,  112,2020-04-08 09:00:02.171514
3,E06000004,Stockton-on-Tees,  123,2020-04-08 09:00:02.171514
4,E06000005,Darlington,   55,2020-04-08 09:00:02.171514
5,E06000006,Halton,  107,2020-04-08 09:00:02.171514
6,E06000007,Warrington,  162,2020-04-08 09:00:02.171514
7,E06000008,Blackburn with Darwen,   86,2020-04-08 09:00:02.171514
8,E06000009,Blackpool,   85,2020-04-08 09:00:02.171514
9,E06000010,"Kingston upon Hull, City of",   38,2020-04-08 09:00:02.171514
10,E06000011,East Riding of Yorkshire,   97,2020-04-08 09:00:02.171514
11,E06000012,North East Lincolnshire,   49,2020-04-08 09:00:02.171514
12,E06000013,North Lincolnshire,   62,2020-04-08 09:00:02.171514
13,E06000014,York,   75,2020-04-08 09:00:02.171514
14,E06000015,Derby,  263,2020-04-08 09:00:02.171514
15,E06000016,Leicester,  211,2020-04-08 09:00:02.171514
16,E06000017,Rutland,    6,2020-04-08 09:00:02.171514
17,E06000018,Nottingham,  204,2020-04-08 09:00:02.171514
18,E06000019,"Herefordshire, County of",   70,2020-04-08 09:00:02.171514
19,E06000020,Telford and Wrekin,   79,2020-04-08 09:00:02.171514
20,E06000021,Stoke-on-Trent,  117,2020-04-08 09:00:02.171514
21,E06000022,Bath and North East Somerset,   67,2020-04-08 09:00:02.171514
22,E06000023,"Bristol, City of",  211,2020-04-08 09:00:02.171514
23,E06000024,North Somerset,   82,2020-04-08 09:00:02.171514
24,E06000025,South Gloucestershire,  139,2020-04-08 09:00:02.171514
25,E06000026,Plymouth,  102,2020-04-08 09:00:02.171514
26,E06000027,Torbay,   57,2020-04-08 09:00:02.171514
27,E06000030,Swindon,   75,2020-04-08 09:00:02.171514
28,E06000031,Peterborough,   62,2020-04-08 09:00:02.171514
29,E06000032,Luton,  195,2020-04-08 09:00:02.171514
30,E06000033,Southend-on-Sea,  136,2020-04-08 09:00:02.171514
31,E06000034,Thurrock,  125,2020-04-08 09:00:02.171514
32,E06000035,Medway,  196,2020-04-08 09:00:02.171514
33,E06000036,Bracknell Forest,   79,2020-04-08 09:00:02.171514
34,E06000037,West Berkshire,  107,2020-04-08 09:00:02.171514
35,E06000038,Reading,  128,2020-04-08 09:00:02.171514
36,E06000039,Slough,  167,2020-04-08 09:00:02.171514
37,E06000040,Windsor and Maidenhead,  116,2020-04-08 09:00:02.171514
38,E06000041,Wokingham,  129,2020-04-08 09:00:02.171514
39,E06000042,Milton Keynes,  186,2020-04-08 09:00:02.171514
40,E06000043,Brighton and Hove,   86,2020-04-08 09:00:02.171514
41,E06000044,Portsmouth,  115,2020-04-08 09:00:02.171514
42,E06000045,Southampton,  181,2020-04-08 09:00:02.171514
43,E06000046,Isle of Wight,   36,2020-04-08 09:00:02.171514
44,E06000047,County Durham,  303,2020-04-08 09:00:02.171514
45,E06000049,Cheshire East,  209,2020-04-08 09:00:02.171514
46,E06000050,Cheshire West and Chester,  227,2020-04-08 09:00:02.171514
47,E06000051,Shropshire,  157,2020-04-08 09:00:02.171514
48,E06000052,Cornwall and Isles of Scilly,  198,2020-04-08 09:00:02.171514
49,E06000054,Wiltshire,  156,2020-04-08 09:00:02.171514
50,E06000055,Bedford,  120,2020-04-08 09:00:02.171514
51,E06000056,Central Bedfordshire,  164,2020-04-08 09:00:02.171514
52,E06000057,Northumberland,  211,2020-04-08 09:00:02.171514
53,E06000058,"Bournemouth, Christchurch and Poole",  116,2020-04-08 09:00:02.171514
54,E06000059,Dorset,  126,2020-04-08 09:00:02.171514
