,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,35,2020-03-23 10:22:59.770919
1,E09000003,Barnet,88,2020-03-23 10:22:59.770919
2,E08000016,Barnsley,10,2020-03-23 10:22:59.770919
3,E06000022,Bath and North East Somerset,13,2020-03-23 10:22:59.770919
4,E06000055,Bedford,4,2020-03-23 10:22:59.770919
5,E09000004,Bexley,39,2020-03-23 10:22:59.770919
6,E08000025,Birmingham,91,2020-03-23 10:22:59.770919
7,E06000008,Blackburn with Darwen,1,2020-03-23 10:22:59.770919
8,E06000009,Blackpool,6,2020-03-23 10:22:59.770919
9,E08000001,Bolton,17,2020-03-23 10:22:59.770919
10,E06000058,"Bournemouth, Christchurch and Poole",12,2020-03-23 10:22:59.770919
11,E06000036,Bracknell Forest,3,2020-03-23 10:22:59.770919
12,E08000032,Bradford,11,2020-03-23 10:22:59.770919
13,E09000005,Brent,128,2020-03-23 10:22:59.770919
14,E06000043,Brighton and Hove,17,2020-03-23 10:22:59.770919
15,E06000023,"Bristol, City of",23,2020-03-23 10:22:59.770919
16,E09000006,Bromley,67,2020-03-23 10:22:59.770919
17,E10000002,Buckinghamshire,44,2020-03-23 10:22:59.770919
18,E08000002,Bury,14,2020-03-23 10:22:59.770919
19,E08000033,Calderdale,5,2020-03-23 10:22:59.770919
20,E10000003,Cambridgeshire,20,2020-03-23 10:22:59.770919
21,E09000007,Camden,53,2020-03-23 10:22:59.770919
22,E06000056,Central Bedfordshire,14,2020-03-23 10:22:59.770919
23,E06000049,Cheshire East,18,2020-03-23 10:22:59.770919
24,E06000050,Cheshire West and Chester,11,2020-03-23 10:22:59.770919
25,E06000052,Cornwall and Isles of Scilly,20,2020-03-23 10:22:59.770919
26,E06000047,County Durham,11,2020-03-23 10:22:59.770919
27,E08000026,Coventry,14,2020-03-23 10:22:59.770919
28,E09000008,Croydon,84,2020-03-23 10:22:59.770919
29,E10000006,Cumbria,79,2020-03-23 10:22:59.770919
30,E06000005,Darlington,3,2020-03-23 10:22:59.770919
31,E06000015,Derby,23,2020-03-23 10:22:59.770919
32,E10000007,Derbyshire,75,2020-03-23 10:22:59.770919
33,E10000008,Devon,43,2020-03-23 10:22:59.770919
34,E08000017,Doncaster,7,2020-03-23 10:22:59.770919
35,E06000059,Dorset,11,2020-03-23 10:22:59.770919
36,E08000027,Dudley,24,2020-03-23 10:22:59.770919
37,E09000009,Ealing,97,2020-03-23 10:22:59.770919
38,E06000011,East Riding of Yorkshire,15,2020-03-23 10:22:59.770919
39,E10000011,East Sussex,9,2020-03-23 10:22:59.770919
