,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,15,2020-04-02 09:00:02.281282
1,E06000002,Middlesbrough,59,2020-04-02 09:00:02.281282
2,E06000003,Redcar and Cleveland,51,2020-04-02 09:00:02.281282
3,E06000004,Stockton-on-Tees,60,2020-04-02 09:00:02.281282
4,E06000005,Darlington,24,2020-04-02 09:00:02.281282
5,E06000006,Halton,32,2020-04-02 09:00:02.281282
6,E06000007,Warrington,40,2020-04-02 09:00:02.281282
7,E06000008,Blackburn with Darwen,25,2020-04-02 09:00:02.281282
8,E06000009,Blackpool,27,2020-04-02 09:00:02.281282
9,E06000010,"Kingston upon Hull, City of",14,2020-04-02 09:00:02.281282
10,E06000011,East Riding of Yorkshire,46,2020-04-02 09:00:02.281282
11,E06000012,North East Lincolnshire,23,2020-04-02 09:00:02.281282
12,E06000013,North Lincolnshire,23,2020-04-02 09:00:02.281282
13,E06000014,York,35,2020-04-02 09:00:02.281282
14,E06000015,Derby,143,2020-04-02 09:00:02.281282
15,E06000016,Leicester,101,2020-04-02 09:00:02.281282
16,E06000017,Rutland,4,2020-04-02 09:00:02.281282
17,E06000018,Nottingham,120,2020-04-02 09:00:02.281282
18,E06000019,"Herefordshire, County of",40,2020-04-02 09:00:02.281282
19,E06000020,Telford and Wrekin,48,2020-04-02 09:00:02.281282
20,E06000021,Stoke-on-Trent,55,2020-04-02 09:00:02.281282
21,E06000022,Bath and North East Somerset,45,2020-04-02 09:00:02.281282
22,E06000023,"Bristol, City of",117,2020-04-02 09:00:02.281282
23,E06000024,North Somerset,42,2020-04-02 09:00:02.281282
24,E06000025,South Gloucestershire,76,2020-04-02 09:00:02.281282
25,E06000026,Plymouth,56,2020-04-02 09:00:02.281282
26,E06000027,Torbay,42,2020-04-02 09:00:02.281282
27,E06000030,Swindon,31,2020-04-02 09:00:02.281282
28,E06000031,Peterborough,36,2020-04-02 09:00:02.281282
29,E06000032,Luton,91,2020-04-02 09:00:02.281282
30,E06000033,Southend-on-Sea,44,2020-04-02 09:00:02.281282
31,E06000034,Thurrock,62,2020-04-02 09:00:02.281282
32,E06000035,Medway,98,2020-04-02 09:00:02.281282
33,E06000036,Bracknell Forest,35,2020-04-02 09:00:02.281282
34,E06000037,West Berkshire,63,2020-04-02 09:00:02.281282
35,E06000038,Reading,66,2020-04-02 09:00:02.281282
36,E06000039,Slough,115,2020-04-02 09:00:02.281282
37,E06000040,Windsor and Maidenhead,75,2020-04-02 09:00:02.281282
38,E06000041,Wokingham,67,2020-04-02 09:00:02.281282
39,E06000042,Milton Keynes,117,2020-04-02 09:00:02.281282
40,E06000043,Brighton and Hove,49,2020-04-02 09:00:02.281282
41,E06000044,Portsmouth,79,2020-04-02 09:00:02.281282
42,E06000045,Southampton,100,2020-04-02 09:00:02.281282
43,E06000046,Isle of Wight,14,2020-04-02 09:00:02.281282
44,E06000047,County Durham,131,2020-04-02 09:00:02.281282
45,E06000049,Cheshire East,76,2020-04-02 09:00:02.281282
46,E06000050,Cheshire West and Chester,65,2020-04-02 09:00:02.281282
47,E06000051,Shropshire,102,2020-04-02 09:00:02.281282
48,E06000052,Cornwall and Isles of Scilly,99,2020-04-02 09:00:02.281282
49,E06000054,Wiltshire,93,2020-04-02 09:00:02.281282
50,E06000055,Bedford,60,2020-04-02 09:00:02.281282
51,E06000056,Central Bedfordshire,81,2020-04-02 09:00:02.281282
52,E06000057,Northumberland,92,2020-04-02 09:00:02.281282
53,E06000058,"Bournemouth, Christchurch and Poole",58,2020-04-02 09:00:02.281282
54,E06000059,Dorset,62,2020-04-02 09:00:02.281282
55,E08000001,Bolton,51,2020-04-02 09:00:02.281282
56,E08000002,Bury,75,2020-04-02 09:00:02.281282
57,E08000003,Manchester,155,2020-04-02 09:00:02.281282
58,E08000004,Oldham,114,2020-04-02 09:00:02.281282
59,E08000005,Rochdale,94,2020-04-02 09:00:02.281282
60,E08000006,Salford,129,2020-04-02 09:00:02.281282
61,E08000007,Stockport,107,2020-04-02 09:00:02.281282
62,E08000008,Tameside,77,2020-04-02 09:00:02.281282
63,E08000009,Trafford,104,2020-04-02 09:00:02.281282
64,E08000010,Wigan,67,2020-04-02 09:00:02.281282
65,E08000011,Knowsley,53,2020-04-02 09:00:02.281282
66,E08000012,Liverpool,262,2020-04-02 09:00:02.281282
67,E08000013,St. Helens,72,2020-04-02 09:00:02.281282
68,E08000014,Sefton,86,2020-04-02 09:00:02.281282
69,E08000015,Wirral,83,2020-04-02 09:00:02.281282
70,E08000016,Barnsley,122,2020-04-02 09:00:02.281282
71,E08000017,Doncaster,79,2020-04-02 09:00:02.281282
72,E08000018,Rotherham,107,2020-04-02 09:00:02.281282
73,E08000019,Sheffield,541,2020-04-02 09:00:02.281282
74,E08000021,Newcastle upon Tyne,225,2020-04-02 09:00:02.281282
75,E08000022,North Tyneside,87,2020-04-02 09:00:02.281282
76,E08000023,South Tyneside,44,2020-04-02 09:00:02.281282
77,E08000024,Sunderland,109,2020-04-02 09:00:02.281282
78,E08000025,Birmingham,734,2020-04-02 09:00:02.281282
79,E08000026,Coventry,127,2020-04-02 09:00:02.281282
80,E08000027,Dudley,157,2020-04-02 09:00:02.281282
81,E08000028,Sandwell,186,2020-04-02 09:00:02.281282
82,E08000029,Solihull,126,2020-04-02 09:00:02.281282
83,E08000030,Walsall,198,2020-04-02 09:00:02.281282
84,E08000031,Wolverhampton,208,2020-04-02 09:00:02.281282
85,E08000032,Bradford,95,2020-04-02 09:00:02.281282
86,E08000033,Calderdale,54,2020-04-02 09:00:02.281282
87,E08000034,Kirklees,101,2020-04-02 09:00:02.281282
88,E08000035,Leeds,192,2020-04-02 09:00:02.281282
89,E08000036,Wakefield,79,2020-04-02 09:00:02.281282
90,E08000037,Gateshead,80,2020-04-02 09:00:02.281282
91,E09000002,Barking and Dagenham,130,2020-04-02 09:00:02.281282
92,E09000003,Barnet,468,2020-04-02 09:00:02.281282
93,E09000004,Bexley,147,2020-04-02 09:00:02.281282
94,E09000005,Brent,506,2020-04-02 09:00:02.281282
95,E09000006,Bromley,321,2020-04-02 09:00:02.281282
96,E09000007,Camden,212,2020-04-02 09:00:02.281282
97,E09000008,Croydon,380,2020-04-02 09:00:02.281282
98,E09000009,Ealing,350,2020-04-02 09:00:02.281282
99,E09000010,Enfield,240,2020-04-02 09:00:02.281282
100,E09000011,Greenwich,205,2020-04-02 09:00:02.281282
101,E09000012,Hackney and City of London,221,2020-04-02 09:00:02.281282
102,E09000013,Hammersmith and Fulham,177,2020-04-02 09:00:02.281282
103,E09000014,Haringey,194,2020-04-02 09:00:02.281282
104,E09000015,Harrow,347,2020-04-02 09:00:02.281282
105,E09000016,Havering,133,2020-04-02 09:00:02.281282
106,E09000017,Hillingdon,222,2020-04-02 09:00:02.281282
107,E09000018,Hounslow,214,2020-04-02 09:00:02.281282
108,E09000019,Islington,174,2020-04-02 09:00:02.281282
109,E09000020,Kensington and Chelsea,191,2020-04-02 09:00:02.281282
110,E09000021,Kingston upon Thames,108,2020-04-02 09:00:02.281282
111,E09000022,Lambeth,462,2020-04-02 09:00:02.281282
112,E09000023,Lewisham,285,2020-04-02 09:00:02.281282
113,E09000024,Merton,208,2020-04-02 09:00:02.281282
114,E09000025,Newham,330,2020-04-02 09:00:02.281282
115,E09000026,Redbridge,196,2020-04-02 09:00:02.281282
116,E09000027,Richmond upon Thames,142,2020-04-02 09:00:02.281282
