,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,42,2020-03-24 09:00:02.478269
1,E09000003,Barnet,94,2020-03-24 09:00:02.478269
2,E08000016,Barnsley,11,2020-03-24 09:00:02.478269
3,E06000022,Bath and North East Somerset,16,2020-03-24 09:00:02.478269
4,E06000055,Bedford,7,2020-03-24 09:00:02.478269
5,E09000004,Bexley,43,2020-03-24 09:00:02.478269
6,E08000025,Birmingham,137,2020-03-24 09:00:02.478269
7,E06000008,Blackburn with Darwen,1,2020-03-24 09:00:02.478269
8,E06000009,Blackpool,6,2020-03-24 09:00:02.478269
9,E08000001,Bolton,18,2020-03-24 09:00:02.478269
10,E06000058,"Bournemouth, Christchurch and Poole",13,2020-03-24 09:00:02.478269
11,E06000036,Bracknell Forest,3,2020-03-24 09:00:02.478269
12,E08000032,Bradford,13,2020-03-24 09:00:02.478269
13,E09000005,Brent,143,2020-03-24 09:00:02.478269
14,E06000043,Brighton and Hove,17,2020-03-24 09:00:02.478269
15,E06000023,"Bristol, City of",28,2020-03-24 09:00:02.478269
16,E09000006,Bromley,76,2020-03-24 09:00:02.478269
17,E10000002,Buckinghamshire,45,2020-03-24 09:00:02.478269
18,E08000002,Bury,15,2020-03-24 09:00:02.478269
19,E08000033,Calderdale,7,2020-03-24 09:00:02.478269
20,E10000003,Cambridgeshire,30,2020-03-24 09:00:02.478269
21,E09000007,Camden,60,2020-03-24 09:00:02.478269
22,E06000056,Central Bedfordshire,19,2020-03-24 09:00:02.478269
23,E06000049,Cheshire East,18,2020-03-24 09:00:02.478269
24,E06000050,Cheshire West and Chester,16,2020-03-24 09:00:02.478269
25,E06000052,Cornwall and Isles of Scilly,25,2020-03-24 09:00:02.478269
26,E06000047,County Durham,14,2020-03-24 09:00:02.478269
27,E08000026,Coventry,19,2020-03-24 09:00:02.478269
28,E09000008,Croydon,85,2020-03-24 09:00:02.478269
29,E10000006,Cumbria,110,2020-03-24 09:00:02.478269
30,E06000005,Darlington,3,2020-03-24 09:00:02.478269
31,E06000015,Derby,23,2020-03-24 09:00:02.478269
32,E10000007,Derbyshire,82,2020-03-24 09:00:02.478269
33,E10000008,Devon,46,2020-03-24 09:00:02.478269
34,E08000017,Doncaster,9,2020-03-24 09:00:02.478269
35,E06000059,Dorset,14,2020-03-24 09:00:02.478269
36,E08000027,Dudley,26,2020-03-24 09:00:02.478269
37,E09000009,Ealing,106,2020-03-24 09:00:02.478269
38,E06000011,East Riding of Yorkshire,16,2020-03-24 09:00:02.478269
39,E10000011,East Sussex,11,2020-03-24 09:00:02.478269
40,E09000010,Enfield,76,2020-03-24 09:00:02.478269
41,E10000012,Essex,67,2020-03-24 09:00:02.478269
42,E08000037,Gateshead,4,2020-03-24 09:00:02.478269
