,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E09000002,Barking and Dagenham,45,2020-03-25 09:00:02.570226
1,E09000003,Barnet,99,2020-03-25 09:00:02.570226
2,E08000016,Barnsley,15,2020-03-25 09:00:02.570226
3,E06000022,Bath and North East Somerset,17,2020-03-25 09:00:02.570226
4,E06000055,Bedford,7,2020-03-25 09:00:02.570226
5,E09000004,Bexley,47,2020-03-25 09:00:02.570226
6,E08000025,Birmingham,187,2020-03-25 09:00:02.570226
7,E06000008,Blackburn with Darwen,2,2020-03-25 09:00:02.570226
8,E06000009,Blackpool,8,2020-03-25 09:00:02.570226
9,E08000001,Bolton,19,2020-03-25 09:00:02.570226
10,E06000058,"Bournemouth, Christchurch and Poole",14,2020-03-25 09:00:02.570226
11,E06000036,Bracknell Forest,3,2020-03-25 09:00:02.570226
12,E08000032,Bradford,14,2020-03-25 09:00:02.570226
13,E09000005,Brent,170,2020-03-25 09:00:02.570226
14,E06000043,Brighton and Hove,25,2020-03-25 09:00:02.570226
15,E06000023,"Bristol, City of",37,2020-03-25 09:00:02.570226
16,E09000006,Bromley,93,2020-03-25 09:00:02.570226
17,E10000002,Buckinghamshire,50,2020-03-25 09:00:02.570226
18,E08000002,Bury,17,2020-03-25 09:00:02.570226
19,E08000033,Calderdale,7,2020-03-25 09:00:02.570226
20,E10000003,Cambridgeshire,37,2020-03-25 09:00:02.570226
21,E09000007,Camden,64,2020-03-25 09:00:02.570226
22,E06000056,Central Bedfordshire,22,2020-03-25 09:00:02.570226
23,E06000049,Cheshire East,25,2020-03-25 09:00:02.570226
24,E06000050,Cheshire West and Chester,18,2020-03-25 09:00:02.570226
25,E06000052,Cornwall and Isles of Scilly,30,2020-03-25 09:00:02.570226
26,E06000047,County Durham,18,2020-03-25 09:00:02.570226
27,E08000026,Coventry,24,2020-03-25 09:00:02.570226
28,E09000008,Croydon,128,2020-03-25 09:00:02.570226
29,E10000006,Cumbria,129,2020-03-25 09:00:02.570226
30,E06000005,Darlington,3,2020-03-25 09:00:02.570226
31,E06000015,Derby,37,2020-03-25 09:00:02.570226
32,E10000007,Derbyshire,101,2020-03-25 09:00:02.570226
33,E10000008,Devon,48,2020-03-25 09:00:02.570226
34,E08000017,Doncaster,13,2020-03-25 09:00:02.570226
35,E06000059,Dorset,15,2020-03-25 09:00:02.570226
36,E08000027,Dudley,40,2020-03-25 09:00:02.570226
