,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,23,2020-04-04 09:00:02.484131
1,E06000002,Middlesbrough,92,2020-04-04 09:00:02.484131
2,E06000003,Redcar and Cleveland,64,2020-04-04 09:00:02.484131
3,E06000004,Stockton-on-Tees,77,2020-04-04 09:00:02.484131
4,E06000005,Darlington,32,2020-04-04 09:00:02.484131
5,E06000006,Halton,51,2020-04-04 09:00:02.484131
6,E06000007,Warrington,82,2020-04-04 09:00:02.484131
7,E06000008,Blackburn with Darwen,43,2020-04-04 09:00:02.484131
8,E06000009,Blackpool,41,2020-04-04 09:00:02.484131
9,E06000010,"Kingston upon Hull, City of",21,2020-04-04 09:00:02.484131
10,E06000011,East Riding of Yorkshire,72,2020-04-04 09:00:02.484131
11,E06000012,North East Lincolnshire,29,2020-04-04 09:00:02.484131
12,E06000013,North Lincolnshire,29,2020-04-04 09:00:02.484131
13,E06000014,York,57,2020-04-04 09:00:02.484131
14,E06000015,Derby,187,2020-04-04 09:00:02.484131
15,E06000016,Leicester,149,2020-04-04 09:00:02.484131
16,E06000017,Rutland,6,2020-04-04 09:00:02.484131
17,E06000018,Nottingham,161,2020-04-04 09:00:02.484131
18,E06000019,"Herefordshire, County of",51,2020-04-04 09:00:02.484131
19,E06000020,Telford and Wrekin,62,2020-04-04 09:00:02.484131
20,E06000021,Stoke-on-Trent,76,2020-04-04 09:00:02.484131
21,E06000022,Bath and North East Somerset,52,2020-04-04 09:00:02.484131
22,E06000023,"Bristol, City of",156,2020-04-04 09:00:02.484131
23,E06000024,North Somerset,58,2020-04-04 09:00:02.484131
24,E06000025,South Gloucestershire,104,2020-04-04 09:00:02.484131
25,E06000026,Plymouth,71,2020-04-04 09:00:02.484131
26,E06000027,Torbay,51,2020-04-04 09:00:02.484131
27,E06000030,Swindon,44,2020-04-04 09:00:02.484131
28,E06000031,Peterborough,48,2020-04-04 09:00:02.484131
29,E06000032,Luton,116,2020-04-04 09:00:02.484131
30,E06000033,Southend-on-Sea,76,2020-04-04 09:00:02.484131
31,E06000034,Thurrock,83,2020-04-04 09:00:02.484131
32,E06000035,Medway,116,2020-04-04 09:00:02.484131
33,E06000036,Bracknell Forest,36,2020-04-04 09:00:02.484131
34,E06000037,West Berkshire,69,2020-04-04 09:00:02.484131
35,E06000038,Reading,67,2020-04-04 09:00:02.484131
36,E06000039,Slough,117,2020-04-04 09:00:02.484131
37,E06000040,Windsor and Maidenhead,76,2020-04-04 09:00:02.484131
38,E06000041,Wokingham,69,2020-04-04 09:00:02.484131
39,E06000042,Milton Keynes,141,2020-04-04 09:00:02.484131
