,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,   29,2020-04-06 09:00:01.986813
1,E06000002,Middlesbrough,  126,2020-04-06 09:00:01.986813
2,E06000003,Redcar and Cleveland,   84,2020-04-06 09:00:01.986813
3,E06000004,Stockton-on-Tees,  108,2020-04-06 09:00:01.986813
4,E06000005,Darlington,   45,2020-04-06 09:00:01.986813
5,E06000006,Halton,   75,2020-04-06 09:00:01.986813
6,E06000007,Warrington,  122,2020-04-06 09:00:01.986813
7,E06000008,Blackburn with Darwen,   63,2020-04-06 09:00:01.986813
8,E06000009,Blackpool,   66,2020-04-06 09:00:01.986813
9,E06000010,"Kingston upon Hull, City of",   31,2020-04-06 09:00:01.986813
10,E06000011,East Riding of Yorkshire,   88,2020-04-06 09:00:01.986813
11,E06000012,North East Lincolnshire,   43,2020-04-06 09:00:01.986813
12,E06000013,North Lincolnshire,   51,2020-04-06 09:00:01.986813
13,E06000014,York,   71,2020-04-06 09:00:01.986813
14,E06000015,Derby,  239,2020-04-06 09:00:01.986813
15,E06000016,Leicester,  195,2020-04-06 09:00:01.986813
16,E06000017,Rutland,    6,2020-04-06 09:00:01.986813
17,E06000018,Nottingham,  191,2020-04-06 09:00:01.986813
18,E06000019,"Herefordshire, County of",   62,2020-04-06 09:00:01.986813
19,E06000020,Telford and Wrekin,   73,2020-04-06 09:00:01.986813
20,E06000021,Stoke-on-Trent,  106,2020-04-06 09:00:01.986813
21,E06000022,Bath and North East Somerset,   58,2020-04-06 09:00:01.986813
22,E06000023,"Bristol, City of",  167,2020-04-06 09:00:01.986813
23,E06000024,North Somerset,   66,2020-04-06 09:00:01.986813
24,E06000025,South Gloucestershire,  113,2020-04-06 09:00:01.986813
25,E06000026,Plymouth,   97,2020-04-06 09:00:01.986813
26,E06000027,Torbay,   54,2020-04-06 09:00:01.986813
27,E06000030,Swindon,   50,2020-04-06 09:00:01.986813
28,E06000031,Peterborough,   48,2020-04-06 09:00:01.986813
29,E06000032,Luton,  163,2020-04-06 09:00:01.986813
30,E06000033,Southend-on-Sea,   97,2020-04-06 09:00:01.986813
31,E06000034,Thurrock,  105,2020-04-06 09:00:01.986813
32,E06000035,Medway,  153,2020-04-06 09:00:01.986813
33,E06000036,Bracknell Forest,   57,2020-04-06 09:00:01.986813
34,E06000037,West Berkshire,   80,2020-04-06 09:00:01.986813
35,E06000038,Reading,   89,2020-04-06 09:00:01.986813
36,E06000039,Slough,  143,2020-04-06 09:00:01.986813
37,E06000040,Windsor and Maidenhead,   99,2020-04-06 09:00:01.986813
38,E06000041,Wokingham,  101,2020-04-06 09:00:01.986813
39,E06000042,Milton Keynes,  155,2020-04-06 09:00:01.986813
40,E06000043,Brighton and Hove,   84,2020-04-06 09:00:01.986813
41,E06000044,Portsmouth,   96,2020-04-06 09:00:01.986813
42,E06000045,Southampton,  147,2020-04-06 09:00:01.986813
43,E06000046,Isle of Wight,   32,2020-04-06 09:00:01.986813
44,E06000047,County Durham,  260,2020-04-06 09:00:01.986813
45,E06000049,Cheshire East,  171,2020-04-06 09:00:01.986813
46,E06000050,Cheshire West and Chester,  167,2020-04-06 09:00:01.986813
47,E06000051,Shropshire,  143,2020-04-06 09:00:01.986813
48,E06000052,Cornwall and Isles of Scilly,  187,2020-04-06 09:00:01.986813
49,E06000054,Wiltshire,  120,2020-04-06 09:00:01.986813
50,E06000055,Bedford,   97,2020-04-06 09:00:01.986813
51,E06000056,Central Bedfordshire,  132,2020-04-06 09:00:01.986813
52,E06000057,Northumberland,  188,2020-04-06 09:00:01.986813
53,E06000058,"Bournemouth, Christchurch and Poole",   85,2020-04-06 09:00:01.986813
54,E06000059,Dorset,   95,2020-04-06 09:00:01.986813
55,E08000001,Bolton,  133,2020-04-06 09:00:01.986813
56,E08000002,Bury,  124,2020-04-06 09:00:01.986813
57,E08000003,Manchester,  293,2020-04-06 09:00:01.986813
58,E08000004,Oldham,  194,2020-04-06 09:00:01.986813
59,E08000005,Rochdale,  155,2020-04-06 09:00:01.986813
60,E08000006,Salford,  226,2020-04-06 09:00:01.986813
61,E08000007,Stockport,  225,2020-04-06 09:00:01.986813
62,E08000008,Tameside,  145,2020-04-06 09:00:01.986813
63,E08000009,Trafford,  201,2020-04-06 09:00:01.986813
64,E08000010,Wigan,  156,2020-04-06 09:00:01.986813
65,E08000011,Knowsley,  133,2020-04-06 09:00:01.986813
66,E08000012,Liverpool,  455,2020-04-06 09:00:01.986813
67,E08000013,St. Helens,  184,2020-04-06 09:00:01.986813
68,E08000014,Sefton,  219,2020-04-06 09:00:01.986813
69,E08000015,Wirral,  168,2020-04-06 09:00:01.986813
70,E08000016,Barnsley,  200,2020-04-06 09:00:01.986813
71,E08000017,Doncaster,  137,2020-04-06 09:00:01.986813
72,E08000018,Rotherham,  202,2020-04-06 09:00:01.986813
73,E08000019,Sheffield,  833,2020-04-06 09:00:01.986813
74,E08000021,Newcastle upon Tyne,  348,2020-04-06 09:00:01.986813
75,E08000022,North Tyneside,  160,2020-04-06 09:00:01.986813
76,E08000023,South Tyneside,   84,2020-04-06 09:00:01.986813
77,E08000024,Sunderland,  236,2020-04-06 09:00:01.986813
78,E08000025,Birmingham,"1,246",2020-04-06 09:00:01.986813
79,E08000026,Coventry,  246,2020-04-06 09:00:01.986813
80,E08000027,Dudley,  283,2020-04-06 09:00:01.986813
81,E08000028,Sandwell,  316,2020-04-06 09:00:01.986813
82,E08000029,Solihull,  204,2020-04-06 09:00:01.986813
83,E08000030,Walsall,  340,2020-04-06 09:00:01.986813
84,E08000031,Wolverhampton,  294,2020-04-06 09:00:01.986813
85,E08000032,Bradford,  185,2020-04-06 09:00:01.986813
86,E08000033,Calderdale,   89,2020-04-06 09:00:01.986813
87,E08000034,Kirklees,  185,2020-04-06 09:00:01.986813
88,E08000035,Leeds,  296,2020-04-06 09:00:01.986813
89,E08000036,Wakefield,  153,2020-04-06 09:00:01.986813
90,E08000037,Gateshead,  168,2020-04-06 09:00:01.986813
91,E09000002,Barking and Dagenham,  209,2020-04-06 09:00:01.986813
92,E09000003,Barnet,  645,2020-04-06 09:00:01.986813
93,E09000004,Bexley,  242,2020-04-06 09:00:01.986813
94,E09000005,Brent,  728,2020-04-06 09:00:01.986813
95,E09000006,Bromley,  489,2020-04-06 09:00:01.986813
