,GSS_CD,GSS_NM,TotalCases,time_stamp
0,E06000001,Hartlepool,12,2020-04-01 09:00:02.355661
1,E06000002,Middlesbrough,44,2020-04-01 09:00:02.355661
2,E06000003,Redcar and Cleveland,43,2020-04-01 09:00:02.355661
3,E06000004,Stockton-on-Tees,47,2020-04-01 09:00:02.355661
4,E06000005,Darlington,23,2020-04-01 09:00:02.355661
5,E06000006,Halton,25,2020-04-01 09:00:02.355661
6,E06000007,Warrington,32,2020-04-01 09:00:02.355661
7,E06000008,Blackburn with Darwen,20,2020-04-01 09:00:02.355661
8,E06000009,Blackpool,18,2020-04-01 09:00:02.355661
9,E06000010,"Kingston upon Hull, City of",11,2020-04-01 09:00:02.355661
10,E06000011,East Riding of Yorkshire,38,2020-04-01 09:00:02.355661
11,E06000012,North East Lincolnshire,21,2020-04-01 09:00:02.355661
12,E06000013,North Lincolnshire,17,2020-04-01 09:00:02.355661
13,E06000014,York,32,2020-04-01 09:00:02.355661
14,E06000015,Derby,122,2020-04-01 09:00:02.355661
15,E06000016,Leicester,89,2020-04-01 09:00:02.355661
16,E06000017,Rutland,3,2020-04-01 09:00:02.355661
17,E06000018,Nottingham,100,2020-04-01 09:00:02.355661
18,E06000019,"Herefordshire, County of",35,2020-04-01 09:00:02.355661
19,E06000020,Telford and Wrekin,40,2020-04-01 09:00:02.355661
20,E06000021,Stoke-on-Trent,37,2020-04-01 09:00:02.355661
21,E06000022,Bath and North East Somerset,41,2020-04-01 09:00:02.355661
22,E06000023,"Bristol, City of",103,2020-04-01 09:00:02.355661
23,E06000024,North Somerset,40,2020-04-01 09:00:02.355661
24,E06000025,South Gloucestershire,66,2020-04-01 09:00:02.355661
25,E06000026,Plymouth,50,2020-04-01 09:00:02.355661
26,E06000027,Torbay,36,2020-04-01 09:00:02.355661
27,E06000030,Swindon,29,2020-04-01 09:00:02.355661
28,E06000031,Peterborough,36,2020-04-01 09:00:02.355661
29,E06000032,Luton,86,2020-04-01 09:00:02.355661
30,E06000033,Southend-on-Sea,39,2020-04-01 09:00:02.355661
31,E06000034,Thurrock,54,2020-04-01 09:00:02.355661
32,E06000035,Medway,78,2020-04-01 09:00:02.355661
33,E06000036,Bracknell Forest,21,2020-04-01 09:00:02.355661
34,E06000037,West Berkshire,43,2020-04-01 09:00:02.355661
35,E06000038,Reading,29,2020-04-01 09:00:02.355661
36,E06000039,Slough,73,2020-04-01 09:00:02.355661
37,E06000040,Windsor and Maidenhead,49,2020-04-01 09:00:02.355661
38,E06000041,Wokingham,24,2020-04-01 09:00:02.355661
39,E06000042,Milton Keynes,106,2020-04-01 09:00:02.355661
40,E06000043,Brighton and Hove,44,2020-04-01 09:00:02.355661
41,E06000044,Portsmouth,78,2020-04-01 09:00:02.355661
42,E06000045,Southampton,76,2020-04-01 09:00:02.355661
43,E06000046,Isle of Wight,13,2020-04-01 09:00:02.355661
44,E06000047,County Durham,120,2020-04-01 09:00:02.355661
45,E06000049,Cheshire East,74,2020-04-01 09:00:02.355661
46,E06000050,Cheshire West and Chester,54,2020-04-01 09:00:02.355661
47,E06000051,Shropshire,85,2020-04-01 09:00:02.355661
48,E06000052,Cornwall and Isles of Scilly,81,2020-04-01 09:00:02.355661
49,E06000054,Wiltshire,83,2020-04-01 09:00:02.355661
50,E06000055,Bedford,60,2020-04-01 09:00:02.355661
51,E06000056,Central Bedfordshire,78,2020-04-01 09:00:02.355661
52,E06000057,Northumberland,76,2020-04-01 09:00:02.355661
53,E06000058,"Bournemouth, Christchurch and Poole",51,2020-04-01 09:00:02.355661
54,E06000059,Dorset,54,2020-04-01 09:00:02.355661
55,E08000001,Bolton,48,2020-04-01 09:00:02.355661
56,E08000002,Bury,72,2020-04-01 09:00:02.355661
57,E08000003,Manchester,126,2020-04-01 09:00:02.355661
58,E08000004,Oldham,108,2020-04-01 09:00:02.355661
59,E08000005,Rochdale,89,2020-04-01 09:00:02.355661
60,E08000006,Salford,127,2020-04-01 09:00:02.355661
61,E08000007,Stockport,101,2020-04-01 09:00:02.355661
62,E08000008,Tameside,69,2020-04-01 09:00:02.355661
63,E08000009,Trafford,96,2020-04-01 09:00:02.355661
64,E08000010,Wigan,65,2020-04-01 09:00:02.355661
65,E08000011,Knowsley,42,2020-04-01 09:00:02.355661
66,E08000012,Liverpool,217,2020-04-01 09:00:02.355661
