GSS_CD,date,GSS_NM,TotalCases,day,area_type,CTY19CD,CTY19NM,LAD19CD,LAD19NM,velocity,acceleration
E06000005,2020-03-22,Darlington,3,82,LAD,,,E06000005,Darlington,0.0,-1.0
E06000005,2020-03-23,Darlington,3,83,LAD,,,E06000005,Darlington,0.0,0.0
E06000005,2020-03-24,Darlington,3,84,LAD,,,E06000005,Darlington,0.0,0.0
E06000005,2020-03-25,Darlington,4,85,LAD,,,E06000005,Darlington,1.0,1.0
E06000005,2020-03-26,Darlington,5,86,LAD,,,E06000005,Darlington,1.0,0.0
E06000005,2020-03-27,Darlington,11,87,LAD,,,E06000005,Darlington,6.0,5.0
E06000005,2020-03-28,Darlington,14,88,LAD,,,E06000005,Darlington,3.0,-3.0
E06000005,2020-03-29,Darlington,15,89,LAD,,,E06000005,Darlington,1.0,-2.0
E06000006,2020-03-18,Halton,4,78,LAD,,,E06000006,Halton,,
E06000006,2020-03-19,Halton,4,79,LAD,,,E06000006,Halton,0.0,
E06000006,2020-03-20,Halton,5,80,LAD,,,E06000006,Halton,1.0,1.0
E06000006,2020-03-21,Halton,7,81,LAD,,,E06000006,Halton,2.0,1.0
E06000006,2020-03-22,Halton,7,82,LAD,,,E06000006,Halton,0.0,-2.0
E06000006,2020-03-23,Halton,7,83,LAD,,,E06000006,Halton,0.0,0.0
E06000006,2020-03-24,Halton,8,84,LAD,,,E06000006,Halton,1.0,1.0
E06000006,2020-03-25,Halton,8,85,LAD,,,E06000006,Halton,0.0,-1.0
E06000006,2020-03-26,Halton,8,86,LAD,,,E06000006,Halton,0.0,0.0
E06000006,2020-03-27,Halton,10,87,LAD,,,E06000006,Halton,2.0,2.0
E06000006,2020-03-28,Halton,12,88,LAD,,,E06000006,Halton,2.0,0.0
E06000006,2020-03-29,Halton,16,89,LAD,,,E06000006,Halton,4.0,2.0
E06000007,2020-03-18,Warrington,4,78,LAD,,,E06000007,Warrington,,
E06000007,2020-03-19,Warrington,4,79,LAD,,,E06000007,Warrington,0.0,
