GSS_CD,week_starting,max_cases,mean_velocity,mean_acceleration,area_type,GSS_NM,CTY19CD,CTY19NM,LAD19CD,LAD19NM
E06000003,2020-03-23,3,0.4,0.0,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000003,2020-03-30,25,3.6666666666666665,1.6666666666666667,LAD,Redcar and Cleveland,,,E06000003,Redcar and Cleveland
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-23,12,1.2,-0.5,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000004,2020-03-30,34,3.6666666666666665,0.6666666666666666,LAD,Stockton-on-Tees,,,E06000004,Stockton-on-Tees
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-23,3,0.2,0.0,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000005,2020-03-30,15,2.0,0.16666666666666666,LAD,Darlington,,,E06000005,Darlington
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-23,7,0.6,0.0,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000006,2020-03-30,16,1.5,0.6666666666666666,LAD,Halton,,,E06000006,Halton
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-23,7,0.6,0.75,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000007,2020-03-30,21,2.3333333333333335,-0.16666666666666666,LAD,Warrington,,,E06000007,Warrington
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-23,1,0.0,0.0,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000008,2020-03-30,12,1.8333333333333333,0.3333333333333333,LAD,Blackburn with Darwen,,,E06000008,Blackburn with Darwen
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-23,6,0.4,0.25,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000009,2020-03-30,10,0.6666666666666666,0.0,LAD,Blackpool,,,E06000009,Blackpool
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-23,1,0.0,0.0,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000010,2020-03-30,9,1.3333333333333333,0.6666666666666666,LAD,"Kingston upon Hull, City of",,,E06000010,"Kingston upon Hull, City of"
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-23,16,1.2,0.25,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-30,31,2.5,0.6666666666666666,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-30,31,2.5,0.6666666666666666,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-30,31,2.5,0.6666666666666666,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
E06000011,2020-03-30,31,2.5,0.6666666666666666,LAD,East Riding of Yorkshire,,,E06000011,East Riding of Yorkshire
